序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/K0lDw6Iw1i1vaOk96zecKMxRnJb?from=from_copylink,AI主题的闭门会，大家却只想聊教育：一些暴论与洞察,AI主题的闭门会，大家却只想聊教育：一些暴论与洞察,20260526,K0lDw6Iw1i1vaOk96zecKMxRnJb,否
2,https://waytoagi.feishu.cn/wiki/Y64YwL3NHi6thhkeMXkcPtrbnfc?from=from_copylink,如何用 Codex 强兼 Claude Code 生态（并被它教做人）,如何用 Codex 强兼 Claude Code 生态（并被它教做人）,20260526,Y64YwL3NHi6thhkeMXkcPtrbnfc,否
3,https://waytoagi.feishu.cn/wiki/EwUKwypuliYYlmkXR9OcOYt3nQb?from=from_copylink,个人觉得用AI剪视频最好的方法，求你别再手动剪视频了！Codex一句话搞定。,个人觉得用AI剪视频最好的方法，求你别再手动剪视频了！Codex一句话搞定。,20260526,EwUKwypuliYYlmkXR9OcOYt3nQb,否
4,https://waytoagi.feishu.cn/wiki/T1wuwpfRZiC0vhkgPfMc2v45nxb?from=from_copylink,如何构建 Claude Research Agent：自动抓取全网资讯生成日报,如何构建 Claude Research Agent：自动抓取全网资讯生成日报,20260526,T1wuwpfRZiC0vhkgPfMc2v45nxb,否
5,https://waytoagi.feishu.cn/wiki/GQzuwdlBmiVDI2kVrYEc7SphnOe?from=from_copylink,Pydantic 修好了我的 Agent Memory,Pydantic 修好了我的 Agent Memory,20260526,GQzuwdlBmiVDI2kVrYEc7SphnOe,否
6,https://waytoagi.feishu.cn/wiki/Ut94wnl5zi4LHmkt4XXcMQoYn3f?from=from_copylink,Notion CEO：AI公司应该是“爵士乐队”，而我是“Refounder”！,Notion CEO：AI公司应该是“爵士乐队”，而我是“Refounder”！,20260526,Ut94wnl5zi4LHmkt4XXcMQoYn3f,否
7,https://waytoagi.feishu.cn/wiki/Sc8SwpAnoimNJUkcqt5c4eFInlg?from=from_copylink,爆肝两周，我把 Codex 最全实战指南开源了,爆肝两周，我把 Codex 最全实战指南开源了,20260527,Sc8SwpAnoimNJUkcqt5c4eFInlg,否
8,https://waytoagi.feishu.cn/wiki/CNS5wafOIiNgcAk3UZnc1iEpn7d?from=from_copylink,别画了！用飞书 CLI 真能一句话生成架构图,别画了！用飞书 CLI 真能一句话生成架构图,20260527,CNS5wafOIiNgcAk3UZnc1iEpn7d,否
9,https://waytoagi.feishu.cn/wiki/LA9NwfPf0iRP2GkFtDocNatZnTf?from=from_copylink,不懂这几个技巧，难怪你用不好AI！,不懂这几个技巧，难怪你用不好AI！,20260527,LA9NwfPf0iRP2GkFtDocNatZnTf,否
10,https://waytoagi.feishu.cn/wiki/E4wewb2yqicwcDkohPHchWj0nFe?from=from_copylink,我用Lovart在汶川开了家民宿，设计师朋友看完沉默了,我用Lovart在汶川开了家民宿，设计师朋友看完沉默了,20260527,E4wewb2yqicwcDkohPHchWj0nFe,否
