序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/GpVwwsKqCifrBZkkf01cOo0Fn1d?from=from_copylink,Codex火了之后，我们办了一场90分钟造物局,Codex火了之后，我们办了一场90分钟造物局,20260606,GpVwwsKqCifrBZkkf01cOo0Fn1d,否
2,https://waytoagi.feishu.cn/wiki/Fu3Cw1WS7iyAmkkqFprcjDiWnof?from=from_copylink,这个热门玩法我研究透了：在图上画一条线，AI就能生成电影级可控镜头,这个热门玩法我研究透了：在图上画一条线，AI就能生成电影级可控镜头,20260606,Fu3Cw1WS7iyAmkkqFprcjDiWnof,否
3,https://waytoagi.feishu.cn/wiki/TCGRwrz5IikcT1kjtVMco7wOnTg?from=from_copylink,别拍脑袋定目标了，分享一些出海增长的正确姿势,别拍脑袋定目标了，分享一些出海增长的正确姿势,20260606,TCGRwrz5IikcT1kjtVMco7wOnTg,否
4,https://waytoagi.feishu.cn/wiki/X0JiwUt2tiJW9ukPL89cIacDnNd?from=from_copylink,设计师花90%时间在对齐像素？这个开源工具想终结这件事,设计师花90%时间在对齐像素？这个开源工具想终结这件事,20260606,X0JiwUt2tiJW9ukPL89cIacDnNd,否
5,https://waytoagi.feishu.cn/wiki/M0TvwDcwyi3wm1krAxIcoKUbnoe?from=from_copylink,Vol.01 大厂裸辞，0融资做出900万AI社区,Vol.01 大厂裸辞，0融资做出900万AI社区,20260606,M0TvwDcwyi3wm1krAxIcoKUbnoe,否
6,https://waytoagi.feishu.cn/wiki/IvOBwVEvPiUlXlksdzecf6iOnVc?from=from_copylink,一场活动结束之后，聚光灯应该打在哪里？ ,一场活动结束之后，聚光灯应该打在哪里？ ,20260606,IvOBwVEvPiUlXlksdzecf6iOnVc,否
7,https://waytoagi.feishu.cn/wiki/Qghzw5tvsiGE1hkorq8cKx7znpb?from=from_copylink,Anthropic设计总监：为何您的整个团队都应该使用AI Agents协同工作丨Product School,Anthropic设计总监：为何您的整个团队都应该使用AI Agents协同工作丨Product School,20260606,Qghzw5tvsiGE1hkorq8cKx7znpb,否
8,https://waytoagi.feishu.cn/wiki/ZwT1wtV0jibEv7kRQmFchQi4nCb?from=from_copylink,如何写好 Skill：一份终极实战经验手册,如何写好 Skill：一份终极实战经验手册,20260607,ZwT1wtV0jibEv7kRQmFchQi4nCb,否
9,https://waytoagi.feishu.cn/wiki/T7ErwmrZZiTNzakXEgmcCOIcnOc?from=from_copylink,5.31-6.7｜本周顶尖 AI 论文,5.31-6.7｜本周顶尖 AI 论文,20260607,T7ErwmrZZiTNzakXEgmcCOIcnOc,否
10,https://waytoagi.feishu.cn/wiki/IdwgweJfKijJR0kUnKhc6LG0noF?from=from_copylink,30 个复制即用的系统提示词，让 Claude 在任何领域都像专家一样工作,30 个复制即用的系统提示词，让 Claude 在任何领域都像专家一样工作,20260607,IdwgweJfKijJR0kUnKhc6LG0noF,否
11,https://waytoagi.feishu.cn/wiki/Tu28w30W6ilfYOkDzFZcvgOengf?from=from_copylink,你不知道的具身智能：从小机器狗到 Optimus,你不知道的具身智能：从小机器狗到 Optimus,20260607,Tu28w30W6ilfYOkDzFZcvgOengf,否
12,https://waytoagi.feishu.cn/wiki/RShKw68dfi1TF2kGKOJcs8zfnrf?from=from_copylink,如何培养真正的品味丨Lenny's Podcast,如何培养真正的品味丨Lenny's Podcast,20260607,RShKw68dfi1TF2kGKOJcs8zfnrf,否
13,https://waytoagi.feishu.cn/wiki/IGZowG4zniitekkHkxUcdpwln9d?from=from_copylink,中国传统配色742种，现已开源github!,中国传统配色742种，现已开源github!,20260607,IGZowG4zniitekkHkxUcdpwln9d,否
14,https://waytoagi.feishu.cn/wiki/OdDAwr9bLiH4pOkxNvLcsGgnnAg?from=from_copylink,AI音乐周刊 W.A 031,AI音乐周刊 W.A 031,20260608,OdDAwr9bLiH4pOkxNvLcsGgnnAg,否
15,https://waytoagi.feishu.cn/wiki/MlROwXxgwiRniIkUmWlcFGVtnpS?from=from_copylink,元：我在Claude Code和Codex做了实测，开源给大家用用，它是万能底层基座,元：我在Claude Code和Codex做了实测，开源给大家用用，它是万能底层基座,20260608,MlROwXxgwiRniIkUmWlcFGVtnpS,否
16,https://waytoagi.feishu.cn/wiki/VMjcwFPAoik8RfkDbfEc71bAnHh?from=from_copylink,"开源：把自己""博客转推文""蒸馏成 Agent Skill","开源：把自己""博客转推文""蒸馏成 Agent Skill",20260608,VMjcwFPAoik8RfkDbfEc71bAnHh,否
17,https://waytoagi.feishu.cn/wiki/Qnh0wZf60iO9BKkGFUXcokP2nMh?from=from_copylink,一句话，翻译任何视频 我把用了半年的视频翻译工具开源了,一句话，翻译任何视频 我把用了半年的视频翻译工具开源了,20260608,Qnh0wZf60iO9BKkGFUXcokP2nMh,否
18,https://waytoagi.feishu.cn/wiki/RQo1wEL6XiTRSekNqThcApXnnVc?from=from_copylink,快速拥有自己的卡通IP桌宠，小白教程来喽！,快速拥有自己的卡通IP桌宠，小白教程来喽！,20260608,RQo1wEL6XiTRSekNqThcApXnnVc,否
19,https://waytoagi.feishu.cn/wiki/XbSkwdWPkiTXPmkcjzec1UkgnKe?from=from_copylink,17 个让 Hermes 在你睡觉时自动运行的提示词,17 个让 Hermes 在你睡觉时自动运行的提示词,20260608,XbSkwdWPkiTXPmkcjzec1UkgnKe,否
20,https://waytoagi.feishu.cn/wiki/FdNxw6CdLi70ymkciaNcq2cYnEb?from=from_copylink,规范驱动开发：Notion的AI工程工作流程丨How I AI,规范驱动开发：Notion的AI工程工作流程丨How I AI,20260608,FdNxw6CdLi70ymkciaNcq2cYnEb,否
21,https://waytoagi.feishu.cn/wiki/K4gswKe11iB4B0k9RKccG2XKnGb?from=from_copylink,Claude Fable 5 / Mythos 5 全网信息整理（截至 2026-06-10）,Claude Fable 5 / Mythos 5 全网信息整理（截至 2026-06-10）,20260609,K4gswKe11iB4B0k9RKccG2XKnGb,否
22,https://waytoagi.feishu.cn/wiki/ICj0w3bR9i3bVqk8wQncXSvynkB?from=from_copylink,这个日历，它不想让你干活了,这个日历，它不想让你干活了,20260609,ICj0w3bR9i3bVqk8wQncXSvynkB,否
