链接,标题,日期,星期,来源,精选日期,异常信息
https://waytoagi.feishu.cn/wiki/OdDAwr9bLiH4pOkxNvLcsGgnnAg,AI音乐周刊 W.A 031,20260608,周一,飞书-通往AGI之路,20260608,
https://mp.weixin.qq.com/s/CzGSF384LNO_OmRzXjWkug,AI音乐周刊 W.A 031,20260608,周一,微信-智音Brook,20260608,
https://www.ableton.com/en/blog/introducing-extensions-sdk,Introducing Extensions SDK: An experimental playground inside Live,20260608,\,,20260608,未提取来源信息
https://mozartai.com/app/home,Mozart AI - AI Song Generator & Music Maker,20260608,\,,20260608,未提取来源信息
https://magenta.withgoogle.com/magenta-realtime-2,Magenta RealTime 2: Open & Local Live Music Models,20260604,周四,Web_OT,20260608,
https://magenta.withgoogle.com/mrt2,Magenta RealTime 2 (Apps & Plugins),20260608,\,,20260608,未提取来源信息
https://arxiv.org/abs/2606.07229,MMAE: A Massive Multitask Audio Editing Benchmark,20260605,周五,Web-arxiv,20260608,
https://github.com/ddlBoJack/MMAE,GitHub - ddlBoJack/MMAE: MMAE: A Massive Multitask Audio Editing Benchmark · GitHub,20260608,\,Web-GitHub,20260608,
https://www.it-jim.com/blog/best-open-source-ai-music-generator,Best Open-Source AI Music Generators 2026 | IT-JIM,20260521,周四,Web_OT,20260608,
https://arxiv.org/abs/2606.01460,A Lightweight Slot-Attention Framework for Multi-Instrument Multi-Pitch Estimation,20260531,周日,Web-arxiv,20260608,
https://arxiv.org/abs/2606.01677,UniVocal: Unified Speech-Singing Code-Switching Synthesis,20260601,周一,Web-arxiv,20260608,
https://arxiv.org/abs/2606.01686,HAIM: Human-AI Music Datasets for AI Music Production Tracking Benchmark,20260601,周一,Web-arxiv,20260608,
https://arxiv.org/abs/2606.01703,JenBridge: Adaptive Long-Form Video Soundtracking across Scene Transitions,20260601,周一,Web-arxiv,20260608,
https://arxiv.org/abs/2606.01802,MOSS-Audio Technical Report,20260605,周五,Web-arxiv,20260608,
https://arxiv.org/abs/2606.02638,SegTune: Structured and Fine-Grained Control for Song Generation,20260531,周日,Web-arxiv,20260608,
https://arxiv.org/abs/2606.03169,SketchSong: Hierarchical Song Generation with Sketch Planning and Fine-Grained Multi-Track Modeling,20260602,周二,Web-arxiv,20260608,
https://arxiv.org/abs/2606.03672,Foley-Omni: A Unified Multimodal Generation Model from Task-Level Audio Synthesis to Complete Video Soundtrack Generation,20260602,周二,Web-arxiv,20260608,
https://arxiv.org/abs/2606.03803,LiveBand: Live Accompaniment Generation in the Audio Domain,20260609,周二,Web-arxiv,20260608,
https://arxiv.org/abs/2606.05852,UniVoice: A Unified Model for Speech and Singing Voice Generation,20260604,周四,Web-arxiv,20260608,
https://arxiv.org/abs/2606.06615,FIGMA: Towards FIne-Grained Music retrievAl,20260604,周四,Web-arxiv,20260608,
https://arxiv.org/abs/2606.07015,Towards Unified Song Generation and Singing Voice Conversion with Accompaniment Co-Generation,20260605,周五,Web-arxiv,20260608,
https://arxiv.org/abs/2606.07397,"Audio-Oscar: A Multi-Agent System for Complex Audio Scene Generation, Orchestration, and Refinement",20260605,周五,Web-arxiv,20260608,
https://mp.weixin.qq.com/s/XJLoB843gUHsQYboq-u3yQ,Ableton 开放 Extensions SDK 公测：用提示词在 Live 内部构建实验性扩展工具,20260604,周四,微信-Midifan,20260608,
https://x.com/Ableton/status/2061802204852310295?s=20,"Ableton on X: ""Expand, reshape and hack Live with the free Extensions SDK, an experimental playground inside Live Suite – now in public beta. Link in comments. https://t.co/RKKjAUx9fI"" / X",20260608,\,Web-X,20260608,
https://x.com/suno/status/2062183524887675243?s=20,"Suno on X: ""We’re thrilled to announce Suno’s next chapter: a $400M Series D at a $5.4B valuation! 🚀
Our mission has always been simple: more people should get to experience the joy of making music. Huge thanks to our incredible community and investors for building alongside us. 

Read more https://t.co/xVHzdaWDQe"" / X",20260608,\,Web-X,20260608,
https://suno.com/blog/series-d-announcement,The Next Chapter for Suno · Suno,20260603,周三,Web_OT,20260608,
https://discord.com/channels/1389715564410441831/1390054759762890782/1511745298953666793,Discord,20260608,\,,20260608,未提取来源信息
https://x.com/GoogleMagenta/status/2062589313372594538?s=20,"Google Magenta Project on X: ""Introducing Magenta RealTime 2 (MRT2): the live music model you can play as an instrument.

MRT2 offers MIDI and prompt controls, and runs natively on a MacBook with &lt;200ms latency.

Open weights. Open source inference engine. Suite of apps and plugins.

Hear what it can do and https://t.co/drsKdfY4QF"" / X",20260608,\,Web-X,20260608,
https://x.com/TencentHunyuan/status/2063862263434613237?s=20,"Tencent Hy on X: ""Can AI truly edit audio, not just generate it? 🎧

Tencent Hy, in collaboration with SJTU, SII, NTU, TJU, ZODA, PKU, FDU, and other collaborators, introduces MMAE.

MMAE--A Massive Multitask Audio Editing Benchmark, is the first comprehensive evaluation benchmark for speech and https://t.co/k5G4bicrOq"" / X",20260608,\,Web-X,20260608,
