序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/MX8KwirLMiBSTpkUm26cCldVn4e?from=from_copylink,最值得安装的20个Skills,最值得安装的20个Skills,20260420,MX8KwirLMiBSTpkUm26cCldVn4e,否
2,https://waytoagi.feishu.cn/wiki/XEJXwgpsFiTxk6kVmNPcNkXgnYe?from=from_copylink,从0开始，在国内用上Claude Code的终极保姆教程来了。,从0开始，在国内用上Claude Code的终极保姆教程来了。,20260420,XEJXwgpsFiTxk6kVmNPcNkXgnYe,否
3,https://waytoagi.feishu.cn/wiki/OC01ww09Kixf7AkgqxCcLbcTnyh?from=from_copylink,听说让Figma、Adobe股价大跌的Claude Design提示词泄露了，我深挖了7个提示词技巧给你们抄作业,听说让Figma、Adobe股价大跌的Claude Design提示词泄露了，我深挖了7个提示词技巧给你们抄作业,20260420,OC01ww09Kixf7AkgqxCcLbcTnyh,否
4,https://waytoagi.feishu.cn/wiki/I8uxwZ2CYiT7qSkOU6ZctbtwnCb?from=from_copylink,一文看全WaytoAGI@2050三日亮点，这些环节不容错过！  ,一文看全WaytoAGI@2050三日亮点，这些环节不容错过！  ,20260420,I8uxwZ2CYiT7qSkOU6ZctbtwnCb,否
5,https://waytoagi.feishu.cn/wiki/Yuxsw4jEZiEL3bkyZ6ccdLnAnnf?from=from_copylink,AI音乐周刊 W.A 024,AI音乐周刊 W.A 024,20260420,Yuxsw4jEZiEL3bkyZ6ccdLnAnnf,否
6,https://waytoagi.feishu.cn/wiki/Nh79wmWR9ivbbpk9AVXcN4H7nuh?from=from_copylink,Meta产品高管：旧版产品经理已死，取而代之的是AI-first建造者 | Lenny's Podcast,Meta产品高管：旧版产品经理已死，取而代之的是AI-first建造者 | Lenny's Podcast,20260420,Nh79wmWR9ivbbpk9AVXcN4H7nuh,否
7,https://waytoagi.feishu.cn/wiki/NF5uwRFuriAnpYkHMKTcERHpnbg?from=from_copylink,我逆向了Claude Design！免费开源！,我逆向了Claude Design！免费开源！,20260421,NF5uwRFuriAnpYkHMKTcERHpnbg,否
8,https://waytoagi.feishu.cn/wiki/U69Twxw0miy8YokLpWacqYcInHh?from=from_copylink,AI 编程三剑客：Spec-Kit、OpenSpec、Superpowers 深度对比与实战指南,AI 编程三剑客：Spec-Kit、OpenSpec、Superpowers 深度对比与实战指南,20260421,U69Twxw0miy8YokLpWacqYcInHh,否
9,https://waytoagi.feishu.cn/wiki/Bil6wRqJfiioswkyUFicgv4LnbU?from=from_copylink,（可能全网最全/长的）Hermes Agent+K2.6 保姆教程 + 实战案例,（可能全网最全/长的）Hermes Agent+K2.6 保姆教程 + 实战案例,20260421,Bil6wRqJfiioswkyUFicgv4LnbU,否
10,https://waytoagi.feishu.cn/wiki/Vkv5wJzJuiRUsok0c6HcR2rInyd?from=from_copylink,GPT-Image-2 全量上线，中文顶到爆，50+ Case 生图实测,GPT-Image-2 全量上线，中文顶到爆，50+ Case 生图实测,20260421,Vkv5wJzJuiRUsok0c6HcR2rInyd,否
11,https://waytoagi.feishu.cn/wiki/BEWpwdZZtitMKXksJYXcpHHOnNh?from=from_copylink,前 Google PM：从 PRD 到原型，Claude Code 正在重写 PM 工作流丨Aakash Gupta,前 Google PM：从 PRD 到原型，Claude Code 正在重写 PM 工作流丨Aakash Gupta,20260421,BEWpwdZZtitMKXksJYXcpHHOnNh,否
12,https://waytoagi.feishu.cn/wiki/MhxZwJ742icTCXkGwE1cGC3RnSc?from=from_copylink,GPT Image 2 全量开放！100+案例，跟 Nano Banana 2 正面PK（附提示词）,GPT Image 2 全量开放！100+案例，跟 Nano Banana 2 正面PK（附提示词）,20260422,MhxZwJ742icTCXkGwE1cGC3RnSc,否
