序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/GCZqwEr7Wigs23kCvhdcKPpsnEb?from=from_copylink,读完这篇，你就搞懂 DeepSeek v4 了,读完这篇，你就搞懂 DeepSeek v4 了,20260428,GCZqwEr7Wigs23kCvhdcKPpsnEb,否
2,https://waytoagi.feishu.cn/wiki/VIwQwHdOCiv4tskvCGic9BXYnZf?from=from_copylink,GPT Image2提示词：字体美学 x 单词视觉化 x 字体气质理解 x 要成精了！,GPT Image2提示词：字体美学 x 单词视觉化 x 字体气质理解 x 要成精了！,20260428,VIwQwHdOCiv4tskvCGic9BXYnZf,否
3,https://waytoagi.feishu.cn/wiki/BQ7gwoYQsi1tn2khxh6cOUH9nxf?from=from_copylink,2026 年每个 AI Agent 构建者都必须使用的 Memory Stack（译）,2026 年每个 AI Agent 构建者都必须使用的 Memory Stack（译）,20260428,BQ7gwoYQsi1tn2khxh6cOUH9nxf,否
4,https://waytoagi.feishu.cn/wiki/KL4ZwtWZTilsgtkV6YVczTUcnag?from=from_copylink,Claude 接进 Blender、Adobe、Ableton，Anthropic 一次放 9 个创作连接器,Claude 接进 Blender、Adobe、Ableton，Anthropic 一次放 9 个创作连接器,20260428,KL4ZwtWZTilsgtkV6YVczTUcnag,否
5,https://waytoagi.feishu.cn/wiki/TonKwbt5BiBxhEkcEjWc2t5RnQN?from=from_copylink,2026 年如何搭建一个多智能体编码栈（译）,2026 年如何搭建一个多智能体编码栈（译）,20260428,TonKwbt5BiBxhEkcEjWc2t5RnQN,否
6,https://waytoagi.feishu.cn/wiki/BmoXw6Iiui6AaMkLBFfc4kF6ncc?from=from_copylink,如何把 AI Agent 用进你的生意、内容和生活丨Calum Johnson,如何把 AI Agent 用进你的生意、内容和生活丨Calum Johnson,20260428,BmoXw6Iiui6AaMkLBFfc4kF6ncc,否
7,https://waytoagi.feishu.cn/wiki/F9nZwhX8bi6VzbklljfcQ2AZn95?from=from_copylink,开源「洁癖.skill」，让你的Agent越用越聪明。,开源「洁癖.skill」，让你的Agent越用越聪明。,20260429,F9nZwhX8bi6VzbklljfcQ2AZn95,否
8,https://waytoagi.feishu.cn/wiki/NJBfwHTV8ibM90kwgSCcIF7pnFA?from=from_copylink,DeepSeek开眼了，更新多模态，实测过后发现。。。,DeepSeek开眼了，更新多模态，实测过后发现。。。,20260429,NJBfwHTV8ibM90kwgSCcIF7pnFA,否
9,https://waytoagi.feishu.cn/wiki/T0cPw5KVti45nukpHMEc32lcnue?from=from_copylink,2026，我们一定要多见面 ｜ WaytoAGI@2050 三周年现场,2026，我们一定要多见面 ｜ WaytoAGI@2050 三周年现场,20260429,T0cPw5KVti45nukpHMEc32lcnue,否
10,https://waytoagi.feishu.cn/wiki/WNz4wEwKIimuKHknVpLcIqMMnlg?from=from_copylink,硅谷创业者：90天做出月入1万美元AI生意，先别融资，去找一个无聊小众市场丨Silicon Valley Girl,硅谷创业者：90天做出月入1万美元AI生意，先别融资，去找一个无聊小众市场丨Silicon Valley Girl,20260429,WNz4wEwKIimuKHknVpLcIqMMnlg,否
11,https://waytoagi.feishu.cn/wiki/IlhMwVhmxiClMnk06ZncqJRtnUd?from=from_copylink,Anthropic 的 PM，是怎么工作的,Anthropic 的 PM，是怎么工作的,20260429,IlhMwVhmxiClMnk06ZncqJRtnUd,否
12,https://waytoagi.feishu.cn/wiki/FZpowIhfqiHbFLkdvjzcmLnhnQf?from=from_copylink,当我用Codex做PPT，这可能是目前最好的解法之一。,当我用Codex做PPT，这可能是目前最好的解法之一。,20260429,FZpowIhfqiHbFLkdvjzcmLnhnQf,否
