序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/Jw0xwNk0EiFkqWk75p9clxfSnBc?from=from_copylink,AI音乐周刊 W.A 025,AI音乐周刊 W.A 025,20260427,Jw0xwNk0EiFkqWk75p9clxfSnBc,否
2,https://waytoagi.feishu.cn/wiki/PYyKweMx0ikbK2kqILrcuCy1nhd?from=from_copylink,4.19-4.26｜本周 AI 论文精选,4.19-4.26｜本周 AI 论文精选,20260427,PYyKweMx0ikbK2kqILrcuCy1nhd,否
3,https://waytoagi.feishu.cn/wiki/Fq5lw2ZDVi0oNeku7ZCcaMk5nxb?from=from_copylink,用 Subagents 保持 Claude Code 上下文干净（译）,用 Subagents 保持 Claude Code 上下文干净（译）,20260427,Fq5lw2ZDVi0oNeku7ZCcaMk5nxb,否
4,https://waytoagi.feishu.cn/wiki/LCSHw5fXqi0UbIkfFXec4H7OnQc?from=from_copylink,AI Engineer 学习路径（译）,AI Engineer 学习路径（译）,20260427,LCSHw5fXqi0UbIkfFXec4H7OnQc,否
5,https://waytoagi.feishu.cn/wiki/ZSZCwzGsEigPFBkpqSmcvENunlb?from=from_copylink,喝点VC｜a16z联合创始人：真正危险的不是投错项目，而是错过下一个Google,喝点VC｜a16z联合创始人：真正危险的不是投错项目，而是错过下一个Google,20260427,ZSZCwzGsEigPFBkpqSmcvENunlb,否
6,https://waytoagi.feishu.cn/wiki/Kv8xwMDDGiGKkvkhcOJcUGeSnCd?from=from_copylink,YC CEO：如何让 Claude 为你的 AI 工程团队编写代码？丨Y Combinator,YC CEO：如何让 Claude 为你的 AI 工程团队编写代码？丨Y Combinator,20260427,Kv8xwMDDGiGKkvkhcOJcUGeSnCd,否
7,https://waytoagi.feishu.cn/wiki/GCZqwEr7Wigs23kCvhdcKPpsnEb?from=from_copylink,读完这篇，你就搞懂 DeepSeek v4 了,读完这篇，你就搞懂 DeepSeek v4 了,20260428,GCZqwEr7Wigs23kCvhdcKPpsnEb,否
8,https://waytoagi.feishu.cn/wiki/VIwQwHdOCiv4tskvCGic9BXYnZf?from=from_copylink,GPT Image2提示词：字体美学 x 单词视觉化 x 字体气质理解 x 要成精了！,GPT Image2提示词：字体美学 x 单词视觉化 x 字体气质理解 x 要成精了！,20260428,VIwQwHdOCiv4tskvCGic9BXYnZf,否
9,https://waytoagi.feishu.cn/wiki/BQ7gwoYQsi1tn2khxh6cOUH9nxf?from=from_copylink,2026 年每个 AI Agent 构建者都必须使用的 Memory Stack（译）,2026 年每个 AI Agent 构建者都必须使用的 Memory Stack（译）,20260428,BQ7gwoYQsi1tn2khxh6cOUH9nxf,否
10,https://waytoagi.feishu.cn/wiki/KL4ZwtWZTilsgtkV6YVczTUcnag?from=from_copylink,Claude 接进 Blender、Adobe、Ableton，Anthropic 一次放 9 个创作连接器,Claude 接进 Blender、Adobe、Ableton，Anthropic 一次放 9 个创作连接器,20260428,KL4ZwtWZTilsgtkV6YVczTUcnag,否
11,https://waytoagi.feishu.cn/wiki/TonKwbt5BiBxhEkcEjWc2t5RnQN?from=from_copylink,2026 年如何搭建一个多智能体编码栈（译）,2026 年如何搭建一个多智能体编码栈（译）,20260428,TonKwbt5BiBxhEkcEjWc2t5RnQN,否
12,https://waytoagi.feishu.cn/wiki/BmoXw6Iiui6AaMkLBFfc4kF6ncc?from=from_copylink,如何把 AI Agent 用进你的生意、内容和生活丨Calum Johnson,如何把 AI Agent 用进你的生意、内容和生活丨Calum Johnson,20260428,BmoXw6Iiui6AaMkLBFfc4kF6ncc,否
