链接,标题,日期,来源,精选日期,异常信息,记录时间
https://www.primeintellect.ai/blog/general-agent,"General Agent: A Self-Evolving, Synthetic Agent Environment",20260524,,20260524,未提取来源信息,2026-05-25 02:50:36
https://claude.ai/install.sh,（https://claude.ai/install.sh）,20260524,,20260524,未提取来源信息,2026-05-25 02:50:36
https://t.me/+_ZWrQN7GuDA3ZDEy,（https://t.me/+_ZWrQN7GuDA3ZDE*y）,20260524,,20260524,未提取来源信息,2026-05-25 02:50:36
https://ai.sony/blog/introducing-woosh-sony-ais-sound-effect-foundation-model,Introducing Woosh: Sony AI's Sound Effect Foundation Model - Sony AI,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://share-eu1.hsforms.com/1cBrLVtosT7qN7qwVKjjdiQfjsd0,Form,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://stability.ai/news-updates/meet-stable-audio-3-the-model-family-built-for-artistic-experimentation-with-open-weight-models?utm_source=multiple&utm_medium=press_release&utm_campaign=stable_audio_3_2026&utm_term=stable_audio_3_launch&utm_content=press_release,"Stable Audio 3.0, the model family built with open-weight models<br/> — Stability AI",20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://www.flowmusic.app/playlist/fb9cb29e-e2ee-43fc-92da-b1cab8498fc6,Salt in the Seats (Pop R&B Mix) by jcow,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://www.mirelo.ai,Generate sound and music for your videos | Mirelo AI,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://www.lalal.ai/?utm_source=youtube&utm_medium=smm&utm_campaign=video,AI Vocal Remover & Instrumental Isolator | LALAL.AI,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://stephenbrade.github.io/lmdm-public,（https://stephenbrade.github.io/lmdm-public/）,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://www.mureka.ai/mureka-desktop?source=popup,Mureka,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://www.riffle.studio,make music on the web. with your people.,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://www.msn.com/en-ca/lifestyle/shopping/splice-inks-responsible-ai-deal-with-elevenlabs/ar-AA23C9Ot?ocid=BingNewsSerp,MSN,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://www.linkedin.com/posts/today-were-releasing-stable-audio-30-a-share-7462886612797063169-qJqN?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEf4sYcB_7kwpHm7WTW6ML5ECD-H8EXZk8c,"Today we’re releasing Stable Audio 3.0, a family of four open-weight models trained on fully licensed data and built for artistic experimentation.  

Model capabilities include: 

📣 Ownership of… | Stability AI",20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://www.linkedin.com/posts/gayno_europe-ai-audio-these-three-spaces-have-ugcPost-7462481094974738433-3Ji3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEf4sYcB_7kwpHm7WTW6ML5ECD-H8EXZk8c,Mirelo SFX 1.6 Launches with Next-Gen AI Audio Capabilities | Thomas Gayno posted on the topic | LinkedIn,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://baike.baidu.com/item/%E9%9F%B3%E6%82%A6%E5%AE%B6%20App/67836098,音悦家 App_百度百科,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://newsletter.waterandmusic.com/archive/a-scoop-on-udios-upcoming-app-starstruck,"A scoop on Udio's upcoming app, Starstruck",20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
https://zenodo.org/records/18957649,403 Forbidden,20260525,,20260525,未提取来源信息,2026-05-25 16:26:33
