链接,标题,日期,星期,来源,精选合集,周报时间,异常信息
https://mp.weixin.qq.com/s/OKxM4MS8vS9KVD1vwOBqUw,【案例】AI 访谈员比人类更“走心”？Listen Labs 如何做到 1.5 亿美金估值,20260116,周五,微信-AI炼金术,PA-日周++,260117周,
https://mp.weixin.qq.com/s/UTORUUeECzqWFOBPWqgFfw,那些曾经救过你的东西，也许正在拖垮你 | MindCode周报,20260111,周日,微信-MindCode,PA-日周++,260117周,
https://mp.weixin.qq.com/s/9v7EoOo2Kci5PWqRoWB16w,2026 年是个临界点：利用 AI 工具的 1 人公司或小规模公司能创造数百万美元的收入,20260111,周日,微信-MacTalk,PA-日周++,260117周,
https://mp.weixin.qq.com/s/n7kstgO9ZVj0xBvh9CeJGA,霍华德·马克斯今年最精彩对话，从巴菲特芒格到AI、黄金与债券 |【经纬低调分享】,20260112,周一,微信-经纬创投,PB-普,260117周,
https://mp.weixin.qq.com/s/uaygyecHU3OjFu9rK1jr0w,直播回放来了！「成长的底层逻辑」（AI、产品经理强相关，150页PPT，1小时50分钟）,20240319,周二,微信-hanniman,PR_引用,260117周,
https://mp.weixin.qq.com/s/Z6PiIVC11H-djtbzcO6zxw,AI for Science投资与创业：下一个十年的机会在哪？,20260109,周五,微信-峰瑞资本,PB-普,260117周,
https://t.zsxq.com/dU3aZ,ChatGPT系列（10）_AIGC的核心价值，并不是发挥创意_20230109,20230109,周一,星球-AI产品经理大本营,PB-普,260117周,
https://mp.weixin.qq.com/s/13zqXcYYq1TVX-w8MDavEg,下一个万亿AI赛道！上下文图谱，才是AI创业的真正机会,20260109,周五,微信-硅基观察Pro,PB-普,260117周,
https://mp.weixin.qq.com/s/CWIXUiGcl8VOTKDSi1Mg1g,"前Google X高管预言：2027年起，人类将进入15年""地狱时期""",20260108,周四,微信-北美观察家,PB-普,260117周,
https://mp.weixin.qq.com/s/RXxQkDPXo1sqhILvjQkhvw,对话云中江树：要想配得上 AI，先停止思考这个问题,20260115,周四,微信-MindCode,PB-普,260117周,
https://mp.weixin.qq.com/s/WwZsAoozHNYj0B0WmM41iQ,“（LLM产品）评估”背后，再深一层和两层的关键能力，到底是什么,20250107,周二,微信-hanniman,PB-普,260117周,
https://mp.weixin.qq.com/s/wfb__EY-fIU3oB4ksU0POw,唐杰、杨植麟、姚顺雨、林俊旸罕见同台分享，这3个小时的信息密度实在太高了。,20260110,周六,微信-数字生命卡兹克,PB-普,260117周,
https://mp.weixin.qq.com/s/bfTbsnItuyr_k-w3XlejOg,独家实录｜唐杰、杨植麟、林俊旸、姚顺雨...All Star 对话上，大家聊了啥？,20260110,周六,微信-赛博禅心,PB-普,260117周,
https://mp.weixin.qq.com/s/zcqr2XwsHVlCyDKmUebN0g,大模型能干的事很多，智能体赚钱的其实不多,20260112,周一,微信-琢磨事,PB-普,260117周,
https://mp.weixin.qq.com/s/LtkLGV3Psg-DqpkWMjchuw,养老机器人交流纪要,20260113,周二,微信-科技暴论,PB-普,260117周,
https://mp.weixin.qq.com/s/QRDC1WYU4CJPr3PFwMmTmw,对话与爱为舞张怀亭：大哥创业不走弯路,20260112,周一,微信-晚点LatePost,PB-普,260117周,
