链接,标题,日期,星期,来源,精选合集,周报时间,异常信息
https://etimq7i0d2.feishu.cn/docx/PYH1drKDpoM4VGxeIHQcNimin8b,嘉宾分享_“评测即PRD”：AI产品经理的必备技能，从写文档到写评测_@张和老师_20251028,20251029,周三,飞书OT分享,PB-普,251101周,
https://etimq7i0d2.feishu.cn/docx/L9zxdm3rvog756xMj8LcY6URnLb,嘉宾分享_黑客级竞品调研：超前预判，从一份“Cursor”竞品报告谈起_@张和老师_20251029,20251029,周三,飞书OT分享,PB-普,251101周,
https://mp.weixin.qq.com/s/3qoaKZeqAfd9GPwGoweF3w,【直播预告】本周六、周日晚8点_张和老师_「评测驱动」如何破解AI落地难题、产品经理如何学AI（直接有助于求职和工作）,20251031,周五,微信-hanniman,PB-普,251101周,
https://mp.weixin.qq.com/s/0rf4-f3XmSkVxJj7KDdaEg,【对谈】AIPPT 赵充：20 个月 2000 万用户,20251028,周二,微信-AI炼金术,PA-日周++,251101周,
https://mp.weixin.qq.com/s/IsHDDXjeMIEqQ2bmcMrN7g,在 Sora 诞生之前，胡修涵做了两年多的「二次元版 Sora」,20251027,周一,微信-Founder Park,PA-日周++,251101周,
https://mp.weixin.qq.com/s/fVFkqiP4fizWAjAFN4fbbA,领投 Ilya 新公司，13 年净 IRR 33%，Greenoaks 的科技投资哲学,20251028,周二,微信-海外独角兽,PA-日周++,251101周,
https://mp.weixin.qq.com/s/1emA-gL92nD3PhGTPK1iqA,作为一个AI博主，我劝你先别急着用AI。,20251027,周一,微信-数字生命卡兹克,PB-普,251101周,
https://t.zsxq.com/vu9X4,AI日报志愿者的收获价值和申请流程_20250803,20250803,周日,星球-AI产品经理大本营,PB-普,251101周,
https://mp.weixin.qq.com/s/T0LgeiUVpv6affzhpZ0M8w,【对谈】筷子科技陈万锋：AI视频的「网感」不是玄学，是工程,20251030,周四,微信-AI炼金术,PB-普,251101周,
https://t.zsxq.com/g5PnR,重要_3.0版的“李继刚（Prompt）的价值被低估了”认知_20250820,20250820,周三,星球-AI产品经理大本营,PB-普,251101周,
https://t.zsxq.com/sJJoa,文君老师：真正的壁垒在哪里,20230911,周一,星球-AI产品经理大本营,PB-普,251101周,
https://mp.weixin.qq.com/s/4aqJXQ482Ip7i_s7c-SHKQ,从 Sierra 到 Jekka：AI 的边界、大规模实践与终点,20251028,周二,微信-真格基金,PB-普,251101周,
https://mp.weixin.qq.com/s/rJAPdijFB6hesOr0r8trYQ,产品视角看智能客服,20180606,周三,微信-hanniman,PR_引用,251101周,
https://mp.weixin.qq.com/s/K0zlqYhlydu-TSjJcRAXLw,Z Potentials｜专访a16z被投Phota Labs联创张璇儿：在Photoshop与美图之间，如何杀出一条新路？,20251029,周三,微信-Z Potentials,PB-普,251101周,
https://www.photalabs.com/,Transform everyday photos into beautiful memories - Home | PhotaLabs,20251030,\,,PB-普,251101周,未提取来源信息
https://mp.weixin.qq.com/s/QVXiu_bpmFntszE8TBioDA,系统智能：真正的AI下半场,20251026,周日,微信-琢磨事,PB-普,251101周,
https://mp.weixin.qq.com/s/xBWjUOqw0x5RLSRj6yHUVA,大反转：中国SaaS的好日子要来了？,20251026,周日,微信-ToB老人家,PB-普,251101周,
https://mp.weixin.qq.com/s/wVUUCP3jG7OaE9bkpj-jCg,地平线余凯：视觉方案与激光方案争论没有意义,20251025,周六,微信-清风心悦,PB-普,251101周,
https://mp.weixin.qq.com/s/8UhygoI1nRL6T5HkzZ6tQw,AI、AGI与编程的终结：Marc Andreessen与Amjad Masad深度对话笔记,20251027,周一,微信-链感AI,PB-普,251101周,
https://mp.weixin.qq.com/s/NhlX2dP-9dpjxdHucN6NLA,（“按结果付费”不是关键，也不是SaaS和AI的救命稻草）,20251026,\,微信X失效,PB-普,251101周,未提取日期
https://mp.weixin.qq.com/s/wvD5ig1aHTwoQ1w8A1Bw5w,AI投放，就应该全方位地比人效果好,20251024,周五,微信-潘一鸣,PB-普,251101周,
https://mp.weixin.qq.com/s/cDnBwSdvkz-IqAw4NrLSNg,与其说人类会被AI取代，不如说AI是人类的孩子｜MindCode 周报,20251026,周日,微信-MindCode,PB-普,251101周,
http://xhslink.com/o/DypcZqSUbB,（AI视频：文物们扛不住了——2025上海心理热线宣传片（2分34秒））,20251028,\,APP-小红书,PA-日周++,251101周,需要登录或无法访问
http://xhslink.com/o/AWjgWEHN4h0,（AI视频：欢迎来到万圣节怪诞酒店（1分13秒））,20251030,\,APP-小红书,PA-日周++,251101周,需要登录或无法访问
https://b23.tv/HoYLNCh,科比看自己的sora2整活AI视频!牢大受尽凌辱遭老罪Reaction,20251023,周四,APP-哔哩哔哩,PA-日周++,251101周,
http://xhslink.com/o/6vpRSVdZs85,（AI视频：《慈母情深》——小学五年级语文上册（4分钟））,20251101,\,APP-小红书,PB-普,251101周,需要登录或无法访问
http://xhslink.com/o/AYRor7kM94Y,（AI视频：假如把拿破仑做成游戏boss（45秒））,20251029,\,APP-小红书,PB-普,251101周,需要登录或无法访问
