链接,标题,日期,星期,来源,精选合集,周报时间,异常信息
https://mp.weixin.qq.com/s/VJxOn9iAYGHMbnHG0QFpGw,【实践】YC 合伙人：我们正处在一个“平均周增10%”的疯狂时代,20250912,周五,微信-AI炼金术,PB-普,250913周,
https://mp.weixin.qq.com/s/3izyTkNfFPBjiIrnAPVjdQ,直播回放_一招致胜的AI产品方法论 & 产品经理转型AI路径 _嘉宾张和,20250609,周一,微信-hanniman,PR_引用,250913周,
https://mp.weixin.qq.com/s/VyC94oRvYii5Sru0__wE0g,揭秘 Claude Code 榜一大哥：一个 AI 创业者如何把工具用到极致｜对话刘小排,20250908,周一,微信-十字路口Crossing,PB-普,250913周,
https://t.zsxq.com/c71WC,AI主要不是科学的进步，而是工程的进步_20250909,20250909,周二,星球-AI产品经理大本营,PR_引用,250913周,
https://mp.weixin.qq.com/s/LaUbV9SN7CazFmb6HdDtgw,喝点VC｜YC对谈Anthropic联创：MCP和Claude Code的成功有相似之处，都在于以模型为核心的研发思路,20250912,周五,微信-Z Potentials,PB-普,250913周,
https://mp.weixin.qq.com/s/J8Fn2MuRgIT69nU3Vi4eEw,机器人交流纪要（2025.08）,20250908,周一,微信-科技暴论,PB-普,250913周,
https://mp.weixin.qq.com/s/zQ2kzbjeEt5PqsIno_DzDg,【对谈】徐文浩 & 任鑫：AI 创业真相：你看到的魔法，背后全是“抢跑”和“博弈”,20250909,周二,微信-AI炼金术,PB-普,250913周,
https://mp.weixin.qq.com/s/I7T5Ei5kvslQ-YjJLkowkQ,Granola 为什么能赢：会议笔记，把产品做简单很重要,20250910,周三,微信-Founder Park,PB-普,250913周,
https://mp.weixin.qq.com/s/SvzHHHWGPNIljac7wPVeqg,【实践】NotebookLM 操盘手 Raiza Martin：如何做出一个不那么丑的产品,20250906,周六,微信-AI炼金术,PB-普,250913周,
https://mp.weixin.qq.com/s/T6HPC1WxFTjdHp-I2gU-Ww,【实践】超越聊天框：这8个前沿产品，正在定义下一代 AI 交互,20250910,周三,微信-AI炼金术,PB-普,250913周,
https://mp.weixin.qq.com/s/IlU5LnKbMP0TQeKsDuj-bA,大模型的两个绊脚石：有过程标注的语料枯竭，吃不下动态的结构化数据,20250911,周四,微信-产品犬舍,PB-普,250913周,
https://mp.weixin.qq.com/s/gEmCGn0OxnoFCPjMri25QQ,当代人工智能技术的脉络与展望,20250908,周一,微信-道哥的黑板报,PB-普,250913周,
https://mp.weixin.qq.com/s/KVKavEjmbTTV5Ng9ukftCQ,技术、应用、资本，2025年9月AI行业综述---154页PPT,20250906,周六,微信-屠龙之术,PB-普,250913周,
https://mp.weixin.qq.com/s/wLYjVVxb3MkcXrJ4mEfvXw,【对谈】idoubi：从腾讯裸辞到一人“军队”：他靠AI独立开发，月访问量破200万,20250908,周一,微信-AI炼金术,PB-普,250913周,
https://mp.weixin.qq.com/s/SY3Qi13349dioz59NWrsNw,深度｜万字长文：从TalkAI到Midoo，AI Agent能终结语言学习的“反人性”吗？,20250904,周四,微信-Z Potentials,PB-普,250913周,
https://mp.weixin.qq.com/s/QWWZIW2SZCiaJCKztaW-OA,融资1500万美金，在AI时代如何面向Agent做营销,20250908,周一,微信-深思圈,PB-普,250913周,
https://mp.weixin.qq.com/s/9ky-lZXGuRWYiKIC5bkx8w,赵充：AiPPT.com 20 个月从 0 到 2000 万用户的故事｜Z Next AI 产品创造营,20250912,周五,微信-Z计划支持大模型创业,PB-普,250913周,
https://mp.weixin.qq.com/s/X4RzqYZ5FMBGaq9MPbiymQ,萨尔·可汗对人工智能不会摧毁教育抱有希望,20250910,周三,微信-Nov,PB-普,250913周,
https://mp.weixin.qq.com/s/sEjAD74peT_7JPST1yZg3g,通用人工智能（AGI）已经来了,20250907,周日,微信-琢磨事,PB-普,250913周,
https://mp.weixin.qq.com/s/ksOmFWLqQggcZNMjBZxFRw,独立产品的困境：一群没有生活的人,20250908,周一,微信-产品犬舍,PB-普,250913周,
https://mp.weixin.qq.com/s/5VJ2yGsXjZrMUT5fpNTROw,投资人不再只看大模型？AI资本新逻辑揭秘｜甲子引力X,20250905,周五,微信-甲子光年,PB-普,250913周,
http://xhslink.com/m/8cbVS8LPSv2,（AI视频：李白安陆十年隐居的心路历程（4分45秒））,20250908,\,APP-小红书,PA-日周++,250913周,需要登录或无法访问
https://mp.weixin.qq.com/s/yURoK3mAAgYwoTYyf32s4A,Claude for Chrome 一手体验！自动回复微信、发Twitter、做调研……做AI浏览器的创业者该慌了，比赛已经结束,20250906,周六,微信-刘小排r,PB-普,250913周,
https://mp.weixin.qq.com/s/AxpEk8CyzjzELDJM3Hrozg,假装自己是弱势群体，即可让ChatGPT Agent爆发超能力,20250728,周一,微信-刘小排r,PB-普,250913周,
http://xhslink.com/m/30ux1kzrSA2,（趣味科普漫画：Nano Banana为什么成为爆火的图像模型？）,20250909,\,APP-小红书,PB-普,250913周,需要登录或无法访问
http://xhslink.com/m/5iV4mRXTZ5f,（AI治愈动画：《未曾离开》（3分17秒））,20250911,\,APP-小红书,PB-普,250913周,需要登录或无法访问
http://xhslink.com/m/2jfMc77aLIw,（北影节获奖AI电影短片：《当归》（10分钟））,20250913,\,APP-小红书,PB-普,250913周,需要登录或无法访问
http://xhslink.com/m/4DE8o9Huulq,（耗时30天的AI油画视频短片：「1888年的春夏冬」——从梵高的信件中，理解他的孤独（7分8秒））,20250907,\,APP-小红书,PB-普,250913周,需要登录或无法访问
https://m.okjike.com/originalPosts/68c27b732393a294a6ad1cce,刚才看到一句古诗，然后就想Seedream4.0这么好的提示词理解和世界知识，这次终于能把古诗词的意境表现出来了吧。,20250911,周四,APP-即刻,PB-普,250913周,
https://mp.weixin.qq.com/s/6_WXtwXtrj_hCuEsRy52OA,美团悄悄上线了生活Agent，懒人的春天真的要来了。,20250912,周五,微信-数字生命卡兹克,PB-普,250913周,
https://mp.weixin.qq.com/s/D4crDBYWl27D0SwHO9sHnw,刚刚，Claude 杀死了 Manus,20250910,周三,微信-AGI Hunt,PB-普,250913周,
https://mp.weixin.qq.com/s/SnopOdYgRSiuIC1-0gTdyg,即梦图片4.0来了，我整理了10个好用到爆的进阶玩法。,20250909,周二,微信-数字生命卡兹克,PB-普,250913周,
https://t.zsxq.com/8CmDv,AI相关电影推荐：攻壳机动队_20250911,20250911,周四,星球-AI产品经理大本营,PB-普,250913周,
https://mp.weixin.qq.com/s/ClApT03DB5hTC46psi_4RQ,华为新芯片曝光，关键是良率和挑战英伟达CUDA，看这两大硬指标！,20250908,周一,微信-全球风口,PB-普,250913周,
https://mp.weixin.qq.com/s/vFrhN8yg6s8kHBUgn8uJ5Q,马斯克的万亿薪酬曝光！如何从中看懂特斯拉三大目标和一大风险？,20250909,周二,微信-全球风口,PB-普,250913周,
https://mp.weixin.qq.com/s/hLvZEoVnJBCL-vReL5YoQA,GEO爆火！流量7倍增长，红杉、英伟达抢着押注AI新生意,20250909,周二,微信-硅基观察Pro,PB-普,250913周,
https://mp.weixin.qq.com/s/9eyyh6XBo6Y0Yb2_1oVuwQ,IDC：2025年上半年全球智能家居清洁机器人出货量暴涨33%,20250905,周五,微信-机器人技术与应用,PB-普,250913周,
https://mp.weixin.qq.com/s/hTz0kQ11W4I5Hys9ul6MdA,3个月翻3倍！甲骨文暴涨千亿背后，AI云服务格局已经变了,20250911,周四,微信-硅基观察Pro,PB-普,250913周,
https://mp.weixin.qq.com/s/ebOuxvIdf20-MIa4O9FkWQ,展望2035年AI未来：Sam Altman与OpenAI投资人Vinod Khosla最新深度对话 | 附2万字原文+视频,20250910,周三,微信-Web3天空之城,PB-普,250913周,
https://mp.weixin.qq.com/s/sBV-cdimUoWKuLT2p37p8Q,107亿！光刻机巨头领投AI创企，黄仁勋库克都看中，三位90后杀疯了,20250908,周一,微信-智东西,PB-普,250913周,
https://mp.weixin.qq.com/s/BQs7AirMA4Q2uzZ-whxsAg,Anthropic 赔付 107 亿：侵犯版权,20250906,周六,微信-人工智能学家,PB-普,250913周,
https://mp.weixin.qq.com/s/11RKheu8Mw2zVLhALwUOSA,OpenAI 不想再「跪着」买显卡了,20250905,周五,微信-AI科技评论,PB-普,250913周,
https://mp.weixin.qq.com/s/I5MlLbk2UbYEE5mO9OKdtg,硅谷大换血！从小镇做题家到顶级AI研究员，华人为什么统治了AGI？,20250904,周四,微信-硅基观察Pro,PB-普,250913周,
https://mp.weixin.qq.com/s?__biz=MzkzNjkzNjk0Nw==&mid=2247550547&idx=1&sn=fdd96ddf1c56f6fdefb340a0ed3e30c6,美国陆军选定Anduril和Rivet竞标新一代IVAS军用头显设备合同,20250909,周二,微信-映维网Nweon,PB-普,250913周,
