序号,URL,链接文字,是否重要,周报时间
1,https://mp.weixin.qq.com/s/VJxOn9iAYGHMbnHG0QFpGw,YC 合伙人：我们正处在一个“平均周增10%”的疯狂时代,否,250913周
2,https://mp.weixin.qq.com/s/3izyTkNfFPBjiIrnAPVjdQ,直播回放_一招致胜的AI产品方法论 & 产品经理转型AI路径 _嘉宾张和,否,250913周
3,https://mp.weixin.qq.com/s/VyC94oRvYii5Sru0__wE0g?click_id=30,对话Claude Code榜一大哥：AI创业者如何把工具用到极致,否,250913周
4,https://t.zsxq.com/c71WC,AI主要不是科学的进步，而是工程的进步_20250909,否,250913周
5,https://mp.weixin.qq.com/s/LaUbV9SN7CazFmb6HdDtgw,Claude Code、MCP的成功，有相似之处——“以模型为核心（用户）”,否,250913周
6,https://mp.weixin.qq.com/s/J8Fn2MuRgIT69nU3Vi4eEw,机器人交流纪要（2025.08）,否,250913周
7,https://mp.weixin.qq.com/s/zQ2kzbjeEt5PqsIno_DzDg,产品魔法的背后，是“抢跑”和“博弈”,否,250913周
8,https://mp.weixin.qq.com/s/I7T5Ei5kvslQ-YjJLkowkQ,Granola 迅速成为硅谷创业者、投资人常用的 AI 笔记。核心差异化：把产品做简单,否,250913周
9,https://mp.weixin.qq.com/s/SvzHHHWGPNIljac7wPVeqg,Notebook LM操盘手：做产品，“个人清晰度”是关键，“任务”是灵魂，信任是氧气，克制是最高的审美,否,250913周
10,https://mp.weixin.qq.com/s/T6HPC1WxFTjdHp-I2gU-Ww,超越聊天框：这8个前沿产品，正在定义下一代AI交互,否,250913周
11,https://mp.weixin.qq.com/s/IlU5LnKbMP0TQeKsDuj-bA,大模型遭遇两大瓶颈：过程标注语料枯竭、动态结构化数据难消化,否,250913周
12,https://mp.weixin.qq.com/s/gEmCGn0OxnoFCPjMri25QQ,当代人工智能技术的脉络与展望,否,250913周
13,https://mp.weixin.qq.com/s/KVKavEjmbTTV5Ng9ukftCQ,技术、应用、资本，2025年9月AI行业综述---154页PPT,否,250913周
14,https://mp.weixin.qq.com/s/wLYjVVxb3MkcXrJ4mEfvXw,独立开发者idoubi：MCP.so对标OpenRouter，成为MCPRouter，解决Agent工具供给问题,否,250913周
15,https://mp.weixin.qq.com/s/SY3Qi13349dioz59NWrsNw,从TalkAI到Midoo，AI Agent能终结语言学习的“反人性”吗？,否,250913周
16,https://mp.weixin.qq.com/s/QWWZIW2SZCiaJCKztaW-OA,AI时代如何面向Agent做营销,否,250913周
17,https://mp.weixin.qq.com/s/9ky-lZXGuRWYiKIC5bkx8w,AiPPT.com，从0做到2000万用户的实战经验,否,250913周
18,https://mp.weixin.qq.com/s/X4RzqYZ5FMBGaq9MPbiymQ,萨尔·可汗：AI不会摧毁教育,否,250913周
19,https://mp.weixin.qq.com/s/sEjAD74peT_7JPST1yZg3g,通用人工智能（AGI）已经来了,否,250913周
20,https://mp.weixin.qq.com/s/ksOmFWLqQggcZNMjBZxFRw,独立产品市场为什么不火？一群没有生活的人,否,250913周
21,https://mp.weixin.qq.com/s/5VJ2yGsXjZrMUT5fpNTROw,当前AI行业，像移动互联网时代（2007-2009年的阶段）,否,250913周
22,http://xhslink.com/m/8cbVS8LPSv2,AI视频：李白安陆十年隐居的心路历程（4分45秒）,是,250913周
23,https://mp.weixin.qq.com/s/yURoK3mAAgYwoTYyf32s4A,Claude for Chrome 体验，可自动回微信、发Twitter、做调研（目前仅邀请制体验）,否,250913周
24,https://mp.weixin.qq.com/s/AxpEk8CyzjzELDJM3Hrozg,假装弱势群体,否,250913周
25,http://xhslink.com/m/30ux1kzrSA2,趣味科普漫画：Nano Banana为什么成为爆火的图像模型？,否,250913周
26,http://xhslink.com/m/5iV4mRXTZ5f,AI治愈动画：《未曾离开》（3分17秒）,否,250913周
27,http://xhslink.com/m/2jfMc77aLIw,北影节获奖AI电影短片：《当归》（10分钟）,否,250913周
28,http://xhslink.com/m/4DE8o9Huulq,耗时30天的AI油画视频短片：「1888年的春夏冬」——从梵高的信件中，理解他的孤独（7分8秒）,否,250913周
29,https://m.okjike.com/originalPosts/68c27b732393a294a6ad1cce,Seedream 4.0 生成符合诗词意境的图片+诗词原文（带提示词）,否,250913周
