序号,URL,链接文字,是否重要,周报时间
1,https://t.zsxq.com/4eD3l,过度钻研Prompt，可能是弄反了方向,是,260307周
2,https://t.zsxq.com/7HeuF,一位顶级投资人的灵性视角：当造物者恐惧造物，唯有灵性能穿越奇点,是,260307周
3,https://mp.weixin.qq.com/s/y2PmaK_4eHbAGzQ-b8r7LQ,我最近突然意识到，AI不仅会给普通大众带来心理问题，对于高阶人士，也会很危险,是,260307周
4,https://www.toutiao.com/article/7612586994065015296/,最难验证的工作，最难被AI替代,是,260307周
5,https://mp.weixin.qq.com/s/_xuXvMZAFSTNWwrg_SwyhQ,公螳螂必死：人打造AI工具，必定会被替代，不要以为自己可以幸免；更深层的问题在于，改造世界的存在感，很爽，但人的本质，恰恰不在于征服，而只是体验,是,260307周
6,https://t.zsxq.com/9stLy,我最近突然意识到，AI不仅会给普通大众带来心理问题，对于高阶人士，也会很危险,否,260307周
7,https://t.zsxq.com/scqSd,AI能帮助更多人提升到「心」的维度,否,260307周
8,https://mp.weixin.qq.com/s/AdNzrNS5ddAk2C3s5MWsxQ,天际30天OpenClaw组织升级实录,是,260307周
9,https://mp.weixin.qq.com/s/iMw0NfBsLjwf4A_XILp1yA,傅盛的AI龙虾养成日记：春节14天，1157条消息、22万字对话，最后变成一支8个Agent的团队,是,260307周
10,https://mp.weixin.qq.com/s/yHJNW243CUiTzAziG0u8sQ,AI硬件交流纪要（2026.2）,否,260307周
11,https://mp.weixin.qq.com/s/H4DNqVi1lbzFJQHb5xo6Sg,DeepMind创始人哈萨比斯：坚信RL能通往AGI的科学家,否,260307周
12,https://m.douban.com/movie/subject/36877225/,豆瓣介绍,否,260307周
13,https://www.youtube.com/watch?v=d95J8yzvjbQ,油管视频,否,260307周
14,https://mp.weixin.qq.com/s/VdnN6TsU2tIeZEiWFjCcNg?click_id=7,所谓云端一键部署OpenClaw，实质上都是丐版，没有本地环境，还要挨个配置API,否,260307周
15,https://mp.weixin.qq.com/s/ka39vu1-Q7mckJRhioxE7g,国产模型和Claude的差距,否,260307周
16,https://mp.weixin.qq.com/s/znhDE92P4LoSyqMzxRUZyg,SaaS股价腰斩背后：这3点理由，并不成立,否,260307周
17,https://mp.weixin.qq.com/s/oTyDONu3EAO-bkrj_q5wUw,Claude设计负责人：工程效率暴增，让传统设计流程走到尽头,否,260307周
18,https://mp.weixin.qq.com/s/yjn4P58S3cOah6NqalAFFQ,前OpenAI成员吴翼访谈,否,260307周
19,https://mp.weixin.qq.com/s/60b4ljjrWC5dprGNdcT0hA,我为什不推荐Kimi Claw之类的云方案，以及我曾经遇到的那些坑,否,260307周
20,https://mp.weixin.qq.com/s/rvX3Hdp6KQ4pRU-zQucpzw,OpenClaw 25万星背后：为什么它仍然只是个“半拉子工程”,否,260307周
21,http://xhslink.com/o/8jbsrTA9dsR,AI动画短片「杀si那个机器人」（11分18秒）,否,260307周
22,https://www.xiaohongshu.com/discovery/item/69a28e6c000000001a02a504?source=webshare&xhsshare=pc_web&xsec_token=ABvBQXDJ3ol5TNjRnrG27IfjxALhzLdaPZ0aA46eZlG_E=&xsec_source=pc_share,AI动画短片「The visitor」（6分25秒）,否,260307周
23,https://www.xiaohongshu.com/discovery/item/69a3f6af000000001d024d92?source=webshare&xhsshare=pc_web&xsec_token=ABKNoMkcSiQuBkFBsmB-74m59iC16GuF7oQ2sDTjkn8E8=&xsec_source=pc_share,AI动画「阿青」，改编自金庸短篇《越女剑》（5分40秒）,否,260307周
24,https://www.xiaohongshu.com/discovery/item/699b31d9000000000b009fc1?source=webshare&xhsshare=pc_web&xsec_token=ABJNqnl7CsyzaNdKxLPzYuQN1uVh-CJmXZnyLPwfyndZQ=&xsec_source=pc_share,AI广告：红旗汽车走进东南亚（全 AI 视频，1分40秒）,否,260307周
25,https://www.xiaohongshu.com/discovery/item/69a14509000000001a01d641?source=webshare&xhsshare=pc_web&xsec_token=ABj0Zl9_CHu0KHrOtsW2o-Tm0ZSIzYPINm_5fOcBL2lf8=&xsec_source=pc_share,AI 微电影「旅行结婚」,否,260307周
26,https://mp.weixin.qq.com/s/mq3zQYeuYpnwubW5dvP6vQ,小山出题.ai：大模型场景化测评平台，能弄清具体任务，用哪个模型、花多少钱，最划算,是,260307周
27,https://xsct.ai/,xsct.ai,是,260307周
28,https://xsct.ai/methodology,xsct.ai/methodology,否,260307周
29,https://mp.weixin.qq.com/s/xkICFjchbPWzMBceY16jBA,为什么你会被 Claude 封号，而别人的一直没事？ ,是,260307周
30,https://mp.weixin.qq.com/s/2B5lPeAFVdZS6Ivh-TTvVQ,贴近美国,否,260307周
31,https://mp.weixin.qq.com/s/EWClgIJBk0dNjcuyL12VfA,美团推出免费 AI 浏览器 Tabbit，带“妙招”功能（类似 skills）,是,260307周
32,https://www.tabbit-ai.com/,国内版,否,260307周
33,https://www.tabbitbrowser.com/,国际版,否,260307周
34,https://mp.weixin.qq.com/s/BdYe5dJ5bjgsJ2rzrP02Rw,阿里云百炼 Coding Plan 上新 GLM-5、MiniMax M2.5、kimi-k2.5 等 8 款国产顶级模型（附 Claude Code + OpenClaw 手把手教程）,是,260307周
35,https://help.aliyun.com/zh/model-studio/coding-plan,详细配置文档,否,260307周
36,https://bailian.console.aliyun.com/cn-beijing/?tab=model#/efm/coding_plan,订阅 Coding Plan,否,260307周
37,https://coding.dashscope.aliyuncs.com/apps/anthropic%E3%80%82,https://coding.dashscope.aliyuncs.com/apps/anthropic。,否,260307周
38,https://claude.ai/install.sh,https://claude.ai/install.sh,否,260307周
39,https://claude.ai/install.ps1,https://claude.ai/install.ps1,否,260307周
40,https://openclaw.ai/install.sh,https://openclaw.ai/install.sh,否,260307周
41,https://openclaw.ai/install.ps1,https://openclaw.ai/install.ps1,否,260307周
42,http://127.0.0.1/,http://127.0.0.1,否,260307周
43,https://mp.weixin.qq.com/s/NqgLOzyttnPCjN1yFEHB0A,Claude Code 推出语音模式，转录Token全免费,否,260307周
