序号,URL,链接文字,是否重要,周报时间
1,https://mp.weixin.qq.com/s/gKq3a4WPEZU5gS0R74ihnQ,Mercor，已超越数据标注平台（如Scale AI），交付Evaluation和Benchmark,是,250920周
2,https://mp.weixin.qq.com/s/UnvvJdIH00vNoxjtc4_rVQ?click_id=7,a16z联创霍洛维茨：如何成为卓越的CEO和产品经理,是,250920周
3,https://mp.weixin.qq.com/s/UNVxPBVZKh8j7CyQ6PHJtg,看看AI眼中世界的“样子”！,是,250920周
4,https://mp.weixin.qq.com/s/vyJ2HkX-9yELnTE4ZNkH9w,深度|AI领域10个非共识认知（8000字长文，90分钟直播回放）,否,250920周
5,https://mp.weixin.qq.com/s/1ZY-6bgoU4Oqnb3tnKuc0A,AI播客事实性、完整性和活人感都很重要；未来的人机交互核心，是「视频接收+音频输出」,是,250920周
6,https://t.zsxq.com/BCUOS,OpenAI为什么可能被低估？Anthropic 创始人为什么那么反华？,否,250920周
7,https://mp.weixin.qq.com/s/GR62efibku0qJ-nptGg8HQ,SEO流量惊人下降、“AI产品付费”正成为常规支出项、未来应瞄准网络效应,否,250920周
8,https://mp.weixin.qq.com/s/6wnqZSl7JA8hqTWgHuxFsQ?click_id=1,“拟物化”阶段是必要的，因为降低了理解门槛；但真正的颠覆，发生在“原生”开始的时刻,否,250920周
9,https://mp.weixin.qq.com/s/6ylovLcyW9ANuZiqSj8Jgw,对A产业的投资视角观点,否,250920周
10,https://mp.weixin.qq.com/s/ulUHmx5gTrssTsbIOGLmFA,AI与算力投资，是巨头们的“军备竞赛”（巨额现金流，反而被视为低效资产，需要投出去）,否,250920周
11,https://mp.weixin.qq.com/s/Hbn9dEQ0vLod2jFOL2dBAA,自驾厂商“抢滩占位”机器人赛道，主控制器被视为新增长点,否,250920周
12,https://mp.weixin.qq.com/s/uXtbtbSZEtV64_M68DDDKg,Stripe x Cursor，硅谷两代“金童”对谈: 未来5年IDE里，将不再是代码,否,250920周
13,https://mp.weixin.qq.com/s/m9cSo3YmCam6A3n6xOiCGw,AI +区块链，催生“未来新经济”,否,250920周
14,https://mp.weixin.qq.com/s/ezkX8cMAANbqfWyJHfnjpA,「直膝步态」是人形机器人最优解,否,250920周
15,https://m.okjike.com/originalPosts/68c3d85ce5597c28d325496f,LangChain 实验揭示：给 AI 写代码，别给它文档全书，给它“精简秘籍”,否,250920周
16,https://mp.weixin.qq.com/s/I5jCxT-FpEOhd8QstEYvfA,GenSpark做的不是通用Agent，而是AI搜索，用夸克的思路，在海外重做百度,否,250920周
17,https://mp.weixin.qq.com/s/WUw7Mu0duQ7qGWjZ0Ew5Xg,Demis Hassabis的最新认知,否,250920周
18,https://mp.weixin.qq.com/s/ljVAaVH1Ct27fqiYARjvnw,Vitalik Buterin（V神）：超级AI真的会毁灭人类吗？,否,250920周
19,https://mp.weixin.qq.com/s/faoca5BEcLEgMRmgDe3XrQ,AI视频：歌唱博物馆——倾听蒙娜丽莎、戴珍珠耳环的少女、雾海之上的流浪者的“秘密”（Kling AI Avatar制作，1分23秒）,是,250920周
20,https://mp.weixin.qq.com/s/Zf3YdM4t8f-tprImv_rDTg,AI 原生影视工作室 Utopai Studios ：本质不是工具，而是直接“内容生产+产业落地”，利润最丰厚；将翻拍好莱坞大片，预售过亿,是,250920周
21,http://xhslink.com/m/8rfpz7qJVGW,AI视频：李白在安陆（2分38秒）,是,250920周
22,https://mp.weixin.qq.com/s/qiKdvSP-WjM1EuQYey7ruw,纳米 AI 用“P 视频”，跑通生成+编辑闭环，重塑 AI 视频创作范式,是,250920周
23,https://mp.weixin.qq.com/s/tFbvKmhogxUhWRnc7jkwxw,Phota Labs：让AI，成为每个人的专属摄影师；摄影的边界，正在重新定义,是,250920周
24,https://mp.weixin.qq.com/s/Oo2vlqeCoGdlKNxC2YszTw,C端电商+AI：淘宝上线了“AI帮我挑”（灰度测试中）,否,250920周
25,http://xhslink.com/m/5FTpaShPXtn,原创AIGC获奖短片：《夏日回响》（2分20秒）,否,250920周
26,http://xhslink.com/m/79G0Mu20WxB,AI视频：《屋顶上的风筝》（1分6秒）,否,250920周
27,http://xhslink.com/m/9Cfck1xLn00,当00后用AI造硬件，脑洞大开的AI科创赛（2分16秒）,否,250920周
28,http://xhslink.com/m/827Wbi6uE0k,AI视频：爆肝24小时，我给《赴山海》做了一部游戏动画（33秒）,否,250920周
29,http://xhslink.com/m/79fDFa7wpHv,AI视频：水・墨・武侠（40秒）,否,250920周
30,https://mp.weixin.qq.com/s/yBZCz0rufM33VlnwzzsZHA,图像竞技场，畅玩多种 Seedream 4.0、Nano Banana 的玩法,是,250920周
31,https://arena.watcha.cn/,体验地址,否,250920周
32,https://event1.cn/5LGO92,体验地址,否,250920周
33,https://mp.weixin.qq.com/s/FcTi0L8RSB5-VbF3R8K7OQ,一套Lovart & Seedream 4.0提示词，将文案，转换为成套小红书图文,否,250920周
34,https://mp.weixin.qq.com/s/oDhPrT9VdZO46Mvf58iALg,YC总结的vibecoding核心指南「如何充分利用Vibecoding 」,否,250920周
35,https://mp.weixin.qq.com/s/wTP3hRbMgRCRNCJluRjjnA,图解AI核心技术：RAG、大模型、智能体,否,250920周
