序号,URL,链接文字,是否重要,周报时间
1,https://mp.weixin.qq.com/s/D5Ob_KZb4QGGYlHo2YKjvg,ChatGPT Pulse是OpenAI超越Google之路的开始,是,251011周
2,https://mp.weixin.qq.com/s/Qq4Tus7MAfo7OQXtoRg5HQ,Sam Altman最新访谈：ChatGPT、Sora和Altman自己,是,251011周
3,https://t.zsxq.com/hNa9Y,周日换频道（278）_尽量不要“错配”（绝大多数人，40岁之后，才可能get到这个关键问题）_20250427,是,251011周
4,https://mp.weixin.qq.com/s/G5M0dmcv9XKr7LUpakMG5Q,Richard Sutton：LLM只是模仿，不包含智能的本质，真正的学习不是训练,是,251011周
5,https://mp.weixin.qq.com/s/pOVRXWH8BInvglKuSEbq_g,汪军对话Rich Sutton：LLM在一定程度上，分散了我们对智能理解的注意力,否,251011周
6,https://mp.weixin.qq.com/s/z07CF9MAdYlNbhQcMp6v8Q,训练LLM，是召唤幽灵，而非创造动物：Andrej Karpathy回应Sutton的“LLM是死路一条”观点,否,251011周
7,https://mp.weixin.qq.com/s/pyMnl_p8OgID6P4jxoaI1g,接近温和拐点，AI将迎来“比撒手速度”的周期,是,251011周
8,https://mp.weixin.qq.com/s/kALhwiRIQHdRlZMy8hBxjg,AI产品的技术路线选择：提示词、RAG与模型微调,是,251011周
9,https://mp.weixin.qq.com/s/HG-QE3pw_h-QK4tIyYk6rA,OpenAI运作模式的底层死结，决定了它自己、甚至中美AI竞争态势的出口,是,251011周
10,https://t.zsxq.com/q8ky3,Agent Builder不是Coze或Dify，工作流不是真正的Agent,否,251011周
11,https://t.zsxq.com/dxcyW,LLM的真正普及，可能需要等AI安全等领域，有更大进展,否,251011周
12,https://t.zsxq.com/pwELZ,什么时候用国内AI产品、什么时候用国外AI产品？,否,251011周
13,https://t.zsxq.com/kWHUv,AI时代，AI公司做产业投资，可能比之前更“重”,否,251011周
14,https://t.zsxq.com/u7ZzH,“赚钱视角”看AI的一个干货视频,否,251011周
15,https://mp.weixin.qq.com/s/eTHt3fRg5hP-2wglqwFYSg,黄仁勋最新访谈：英伟不再是芯片公司，而是全球AI Infra核心合作伙伴；向OpenAI投资100亿，建造自己的AI工厂,否,251011周
16,https://mp.weixin.qq.com/s/qy7yTSDvT-iDIQy1aI_DKw?click_id=10,罗永浩对谈周鸿祎：AI将走向何方？,否,251011周
17,https://mp.weixin.qq.com/s/MM4qMZP8qtVjnUTBJdjeJA,AI 时代创业的大机会，是专业服务规模化,否,251011周
18,https://mp.weixin.qq.com/s/skCelBVuGM-WAGDCO2s-oA,OpenAI 推出“ChatGPT Pulse”每日简报功能，就标志着 AI 从生成内容，转向生成服务,否,251011周
19,https://mp.weixin.qq.com/s/JFU4uLF-ZO7sF-Q9lAlxsQ,白强：AI是“人类主导的最后一次技术革ming”，未来将由AI自我迭代；To C娱乐与机器人将成中国突破点,否,251011周
20,https://mp.weixin.qq.com/s/ichZ7dy1pi9Mk7sRIyz5-g,Trickle创始人：探索3年、经历3款产品，最终找到PMF,否,251011周
21,http://xhslink.com/o/8AFBmnNBmxA,美tiktok网红在中国试用机器腿，一天超千万人观看（5分42秒）,否,251011周
22,http://xhslink.com/o/8b0eNfJoHnN,AI视频：你知道自己是AI吗？看庄子、孔子、老子如何回答（30秒）,否,251011周
23,http://xhslink.com/o/8E8sMdDcdGO,AI视频：张杰演唱会转场——中国风与未来感融合（1分50秒）,否,251011周
24,http://xhslink.com/o/8QBcVjqsoV,AI视频：一场跨地域的“文物”中秋月饼宴（47秒）,否,251011周
25,http://xhslink.com/o/8Rilhmfj28N,AI视频：敦煌瑞兽的皮影美学（一镜到底，51秒）,否,251011周
26,https://mp.weixin.qq.com/s/Zp8q0C1dEqV86txdKpardw,豆包P图全攻略：从基础修图到情感写真，朋友圈零门槛出片指南,是,251011周
27,https://mp.weixin.qq.com/s/FxG09Ia1z1Ciup709rPpXQ,国产音画同步视频模型 GAGA-1,否,251011周
28,http://gaga.art/,体验地址,否,251011周
29,https://mp.weixin.qq.com/s/0dcGm5WcO8Cp_EFWTYiBeg,发布了Magi-1,否,251011周
30,https://100.datavizproject.com/,工具网站：一个数据集的100种可视化,否,251011周
31,https://mp.weixin.qq.com/s/fVeBta950i6G7eC_y7JU0g,视觉推理模型 Gemini 2.5 Computer Use，超越 Sonnet 4.5 与 OpenAI Operator：AI 开始真正“会用电脑”,否,251011周
32,https://gemini.browserbase.com/,体验地址,否,251011周
33,https://m.okjike.com/originalPosts/68e679cdbe5dac10f8e15541,使用超1万亿Token的30个 Open AI 大客户名单,否,251011周
