序号,URL,链接文字,是否重要,周报时间
1,https://mp.weixin.qq.com/s/qa1J3KglD8ITh75NrfbfGA,OpenClaw和Claude Code的本质分歧,是,260314周
2,https://mp.weixin.qq.com/s/bnBQHsh8dM--9pfqtpvZZw,余一：把AI当外星人；我的直觉和审美，让“AI余一”变得独特,是,260314周
3,https://mp.weixin.qq.com/s/lkyBQjCLUPzNenj9L4OgYw,AI产品经理的新起点,否,260314周
4,https://mp.weixin.qq.com/s/bSqvn__phyGcszoIq5PbNg,腾讯（张小龙）在等待大潮，因为熟人关系链是重器，需要智能、context、成本至少再大一个数量级。而妄想只通过计算context，来捕捉灵魂，是低维认知，很可能此路不通，因为context 只是光（生命）留下的影子,是,260314周
5,https://t.zsxq.com/scqSd,AI能帮助更多人提升到「心」的维度_20260129,否,260314周
6,https://mp.weixin.qq.com/s/gbUJbJQzjMGtR0zyGYnEfg?scene=1&click_id=94,AGI无法被对齐，其核心特征，隐含在《道德经》里,是,260314周
7,https://mp.weixin.qq.com/s/qcpE_A_eFdBbcyyAHe1HxQ,AI圈贩卖焦虑，已经过于离谱了,是,260314周
8,https://mp.weixin.qq.com/s/LFIw_BRvgHB-YDPVYTd_pg,OpenClaw是能力放大器，它的产出，取决于你的认知水平,否,260314周
9,https://mp.weixin.qq.com/s/TU1_YZiCV59TLGiPu2ATpQ,曾被问“有AI产品经理课程推荐吗？”，我都说没有，直到发现了今天这个……,否,260314周
10,https://mp.weixin.qq.com/s/l32EPYG5RmeLXqG6RlXKug,宝玉的 AI 翻译 skills，及其迭代流程,是,260314周
11,https://github.com/JimLiu/baoyu-skills,项目地址,否,260314周
12,https://github.com/anthropics/skills/tree/main,Anthropic 官方仓库,否,260314周
13,https://mp.weixin.qq.com/s/IXeUCcxlzUdtN-pjuGO_QA,嘉宾分享_“评测即PRD”：AI产品经理的必备技能，从写文档到写评测_@张和老师,否,260314周
14,https://mp.weixin.qq.com/s/luLBXSqmhzZZvPo7zqCrhQ,大家在用龙虾干嘛、有哪些商业机会,是,260314周
15,https://mp.weixin.qq.com/s/nB0kb_hhXwPHOAY-FJWVtQ,当AI可以重写一切：图灵、塞尔、马斯克以及你我的唯一性,否,260314周
16,https://mp.weixin.qq.com/s/RnED00idEhMpemrMcdDG1Q,OpenClaw不是一个产品，而是一场平台级迁移，类似 PC 互联网诞生的那一刻,否,260314周
17,https://t.zsxq.com/jOSFo,用户想要“能帮我赚钱”的龙虾？,是,260314周
18,https://mp.weixin.qq.com/s/bTxPvWr0S-pkMYnoyUjttw,ACE Studio：专业用户的音乐IDE，重塑创作环境与工作流,是,260314周
19,https://mp.weixin.qq.com/s/sfVU786tmz4ifiILmYfB2w,AI产品经理大本营,否,260314周
20,https://mp.weixin.qq.com/s/IyPQgm5bblE0LPhU8F7X9A,智能助理的应用场景选择,否,260314周
21,https://mp.weixin.qq.com/s/JrfA9O3KCv9oebegCYHJHQ,现阶段实践“拿着锤子找钉子”的六个步骤,否,260314周
22,https://t.zsxq.com/8OBXc,从AIGC看虚拟世界产品化落地之路（25分钟视频回放）,否,260314周
23,https://mp.weixin.qq.com/s/vAp5stHcQIAZvLZHRRXzYg,龙虾时代，眼高手低是褒义词,否,260314周
24,https://t.zsxq.com/4eD3l,过度钻研Prompt，可能是弄反了方向_20260305,是,260314周
25,https://mp.weixin.qq.com/s/z2V6RJ6XjLLL0rHwdk7tAQ,号称最适合OpenClaw？别被GPT-5.4的发布骗了！大溃败危机已现,否,260314周
26,https://mp.weixin.qq.com/s/tct5Z9dd4DBEBnwwnxDaqQ,当AI写了几乎所有代码，软件工程会怎样,否,260314周
27,https://mp.weixin.qq.com/s/uB8cExIx95bbJ1QNGy8yxg,装完龙虾后，用不起来的四个原因，有效破局的三个方法,否,260314周
28,https://mp.weixin.qq.com/s/peU9diy6wf-iadNnQtqUcw,给 AI 装修办公室,否,260314周
29,https://www.xiaohongshu.com/discovery/item/69ac239f0000000015021934?source=webshare&xhsshare=pc_web&xsec_token=ABhqUqt1dbg6xRA6leTJ_eKAUhIMirIwPxzDe9G_8QDwk=&xsec_source=pc_share,AI动画短片「未曾告别」（7分2秒）,否,260314周
30,https://www.xiaohongshu.com/discovery/item/69a90d80000000000d0083e6?source=webshare&xhsshare=pc_web&xsec_token=ABkYTCtPautErU3vBM76dGhvOAcRBDMXeLcosBOHc6cBE=&xsec_source=pc_share,AI视频「关于人类回忆」（4分35秒）,否,260314周
31,https://www.xiaohongshu.com/discovery/item/69aabd6b000000001a01ebec?source=webshare&xhsshare=pc_web&xsec_token=AB7k6UzOe_pphGXbhfkf4OLwu0scsjb6ihCBes0sWUdb4=&xsec_source=pc_share,AI动画短片「浮生江海」，方言配音、配乐都是AI生成的（6分21秒）,否,260314周
32,https://www.xiaohongshu.com/discovery/item/69a721610000000022020cf5?source=webshare&xhsshare=pc_web&xsec_token=ABHWVpZtzpRRf8SFpAkzDL5y7Xdzui8PupbItYTJHejwE=&xsec_source=pc_share,AI粘土动画「泥猫灶王」（4分57秒）,否,260314周
33,https://www.xiaohongshu.com/discovery/item/69b2cef7000000001d012b6e?source=webshare&xhsshare=pc_web&xsec_token=ABuLhc2OPyqZXsloauxxjkco8f78WWqmuBbY2WQRA9ACk=&xsec_source=pc_share,AI视频「Rainy Days」（3分6秒）,否,260314周
34,https://www.xiaohongshu.com/discovery/item/69a7a90c0000000023038225?source=webshare&xhsshare=pc_web&xsec_token=ABHWVpZtzpRRf8SFpAkzDL517cLfMTGsBiLpIeyxSey_M=&xsec_source=pc_share,AI地产广告「嘘！我发现了一个秘密…」（2分50秒）,否,260314周
35,https://www.xiaohongshu.com/discovery/item/69ae851f0000000015020f79?source=webshare&xhsshare=pc_web&xsec_token=ABPfw7IzzOdpaPlIf3iFvHJOiCnPm2iGLptgCCAOQ4Ow4=&xsec_source=pc_share,AI视频「流水线的人生」（3分30秒）,否,260314周
36,https://mp.weixin.qq.com/s/lopU0A1nVdlpECU_t9iuTQ,让Agent彻底“开眼”！用Apify让Claude Code，实时抓取全网数据，实用性直接10倍起飞,是,260314周
37,https://mp.weixin.qq.com/s/jw06Xng5yGCOtgva5zjiTg,Claude Code 推出 /loop 无限循环，一台电脑可化身无数小龙虾,是,260314周
38,https://mp.weixin.qq.com/s/vjMG8i7DwQ7R2B1C4AVQdA,Anthropic 官方仓库的 skill-creator 重大更新：新增 skills 评估、测试、调优能力,是,260314周
39,https://github.com/anthropics/skills/tree/main/skills/skill-creator,https://github.com/anthropics/skills/tree/main/skills/skill-creator,否,260314周
40,https://mp.weixin.qq.com/s/I61u0wTsJX1W6VGMGTPA1g,OpenClaw 联网工具指南及推荐,否,260314周
41,https://github.com/vercel-labs/agent-browser/tree/main,agent-browser,否,260314周
42,https://tavily.com/,Tavily Search,否,260314周
43,https://clawhub.ai/gpyAngyoujun/multi-search-engine,Multi Search Engine,否,260314周
44,https://metaso.cn/search-api/api-keys,申请 API KEY,否,260314周
45,https://open.bigmodel.cn/,申请 API KEY,否,260314周
46,https://clawhub.ai/parags/deep-research-pro,deep-research-pro,否,260314周
47,https://mp.weixin.qq.com/s/mzQdQlEYviHU0IZcEiGgXQ,Pencil + Claude Code：AI 时代的“快速原型图”开发流程,否,260314周
48,https://pencil.dev/,官网地址,否,260314周
49,https://mp.weixin.qq.com/s/mhFyX7bOyrOkIcDhnPoMFw,小白养虾指南：火山的 ArkClaw 把养虾的门槛打到地板了，无论是价格、还是安装门槛,否,260314周
50,https://v2ig.cn/cRm03IcFyUU/,官网链接,否,260314周
51,https://www.volcengine.com/docs/6396/2249541?lang=zh,操作文档,否,260314周
52,https://mp.weixin.qq.com/s/ElpuiIh3css7XtmI9Ciwgw,Skill Vetter：审查 skills 是否有安全风险,否,260314周
53,https://clawhub.ai/spclaudehome/skill-vetter,https://clawhub.ai/spclaudehome/skill-vetter,否,260314周
54,https://clawhub.ai/,clawhub 官方网站,否,260314周
