序号,URL,链接文字,是否重要,周报时间
1,https://t.zsxq.com/D0LvN,近期接触到的5个AI认知点,是,260207周
2,https://t.zsxq.com/O7zhE,AI工具商业化落地的思路和坑,是,260207周
3,https://mp.weixin.qq.com/s/DmHAClJSXHHDhq_t3dDnnQ,余轶南谈AI公司的第一性原理、战略品味和人才架构,是,260207周
4,https://mp.weixin.qq.com/s/FeFPDLYwQedtE9tEIjuKPA,AI 时代，最难被替代的两件事：做选择的品味、把结果做稳的工程思维,是,260207周
5,https://mp.weixin.qq.com/s/WwZsAoozHNYj0B0WmM41iQ,“（LLM产品）评估”背后，再深一层和两层的关键能力，到底是什么,否,260207周
6,https://mp.weixin.qq.com/s/2V1d1IHV8Xvc-Px5D0K8xA,对话赵君：每周工作5小时，实现自动盈利，独立开发者“不内卷”出海心法,是,260207周
7,https://mp.weixin.qq.com/s/k7RQk06fVDss7n8maKQ9EA,不是 AI，是代码，才是普通人的最大杠杆,是,260207周
8,https://mp.weixin.qq.com/s/hc6KJtt8Xi-0YWDVhzTMkQ,flomo少楠：没有一款产品，仅因支持了AI，就突然变得独特,否,260207周
9,https://t.zsxq.com/scqSd,【重要】AI能帮助更多人提升到「心」的维度_20260129,是,260207周
10,https://mp.weixin.qq.com/s/m3krSo6t5eyeFLv5Lfw5JA,奥特曼研讨会：AI 即将迎来“极度丰饶时代”，如何获取用户注意力，成为唯一课题,否,260207周
11,https://mp.weixin.qq.com/s/qGGqt2QQXEkI2YANITn5qQ,AI 录音硬件路线分化：组织记忆工具 vs 个人超级智能体雏形,否,260207周
12,https://mp.weixin.qq.com/s/68JeyFgW0yYPW8mJRuU_Tg,平台化才是软件的护城河，单点工具必将被颠覆,否,260207周
13,https://t.zsxq.com/sJJoa,产研不创造壁垒，产研创造利润,否,260207周
14,https://mp.weixin.qq.com/s/uTaIcAP6SA5TTwCMeP5NUg,智能硬件创业：投资人眼中的机会、挑战与制胜之道,否,260207周
15,https://mp.weixin.qq.com/s/QbqZl5Sc7T8O1icf1lHpEg,明浩：同一代技术，两个系统，181页PPT全记录AI行业的2025,否,260207周
16,https://mp.weixin.qq.com/s/Fq0LvNguHJCTrHitemzhqQ,AI 彻底普及的世界到底是怎样的？有一个最简单的办法帮你代入想象,否,260207周
17,https://mp.weixin.qq.com/s/ssI9McWWW_ho49E4uW2vXA,AI工具正在形成分工体系，ChatGPT负责想清楚问题、Manus负责跑结果,否,260207周
18,https://mp.weixin.qq.com/s/o8NnHGxzurBmBjmJ4Z_3Fw,提示词PK比赛，我是如何战胜同事和AI的,否,260207周
19,https://mp.weixin.qq.com/s/Vf1vJgut_fO_30jf7zKJnA,马斯克三小时访谈实录：36 个月后，太空是训练、运行 AI 最便宜的地方,否,260207周
20,https://mp.weixin.qq.com/s/T6kJehrZ78cOhmjD73bhvQ,Genie 3 看似颠覆内容生产，但真正改变的是价值分布,否,260207周
21,https://mp.weixin.qq.com/s/mZYFRh5pJuIpi5flYZctHA,拓竹的 3D 打印机，让我想起了珍妮纺织机、缝纫机,否,260207周
22,https://www.xiaohongshu.com/discovery/item/6981f9a8000000001a0347d3?source=webshare&xhsshare=pc_web&xsec_token=ABs6SyG_-Wzpcu4QSrJyyhyMZgryD66WtoWpv72WTV_Jk=&xsec_source=pc_share,AI动画：梵高生平里的珍宝（5分25秒）,否,260207周
23,https://www.xiaohongshu.com/discovery/item/69859406000000001a0214cc?source=webshare&xhsshare=pc_web&xsec_token=ABk_NIy8-Yokq9DpQqtvgiEZFv-Vv1Kr_AqSy1ethp7xU=&xsec_source=pc_share,AI视频：AliExpress米兰冬奥会品牌片（3分11秒）,否,260207周
24,https://www.xiaohongshu.com/discovery/item/698060a9000000000b012b04?source=webshare&xhsshare=pc_web&xsec_token=ABquOuIZ9Tb_55_-zGukv6zYZ9Qz470ZDSDzb6x0tPTuc=&xsec_source=pc_share,趣丸首部AI全流程创作的大电影「心火」（11分57秒）,否,260207周
25,https://mp.weixin.qq.com/s/vHuT0TfEUNIRVd4pqF0EKw,360「纳米漫剧」，半小时能做完一集“工业级”漫剧,否,260207周
26,https://www.xiaohongshu.com/discovery/item/697f2822000000001a030ddb?source=webshare&xhsshare=pc_web&xsec_token=AB_0MbVL_fTbzMVOY1cuffXDw7KVjFU9yQbSAes1FAevg=&xsec_source=pc_share,AI动画短片：神奇动物在霍格沃茨（2分10秒）,否,260207周
27,https://mp.weixin.qq.com/s/yOmOq7kVY10Ef_gPYaUkeA,Vidu Q3 发布，全球首个支持“ 16 秒音视频”直出的模型，最新 Artificial Analysis 榜单中，Vidu Q3 排中国第一，全球第二,否,260207周
28,https://www.vidu.cn/,体验地址,否,260207周
29,https://mp.weixin.qq.com/s/95PpOLsq3fXOehJLRzsxjA,Second Me App 开放“数字真人版” Moltbook,否,260207周
30,https://book.second.me/,点击链接,否,260207周
31,https://develop.second.me/,Second Me 开发者平台,否,260207周
32,https://mp.weixin.qq.com/s/feZL2LQQC63eNferzOqtkg,读了70篇测评后，写了这份全网最详细的 OpenClaw 使用指引,是,260207周
33,https://teamoteam.com/t?a=clawdbot&e=c&i=570e884f,https://teamoteam.com/t?a=clawdbot&e=c&i=570e884f,否,260207周
34,https://mp.weixin.qq.com/s/oaE-__gKDQdNzUdKSYdJhA,日常高频使用的 8 个 Skills 推荐,否,260207周
35,https://github.com/OthmanAdi/planning-with-files,planning-with-files,否,260207周
36,https://github.com/obra/superpowers,superpowers,否,260207周
37,https://github.com/anthropics/skills,frontend-design,否,260207周
38,https://github.com/PleasePrompto/notebooklm-skill,NotebookLM skill,否,260207周
39,https://github.com/kepano/obsidian-skills,Obsidian skills,否,260207周
40,https://www.remotion.dev/docs/ai/skills,官方版,否,260207周
41,https://github.com/wshuyi/remotion-video-skill,GitHub增强版,否,260207周
42,https://github.com/anthropics/skills/tree/main,Skill Creator,否,260207周
43,https://github.com/luwill/research-skills,research-skills,否,260207周
44,https://mp.weixin.qq.com/s/qlbCkX2P_efd2WK32BlC3Q,Clawdbot 模型配置、切换教程,否,260207周
45,https://mp.weixin.qq.com/s/kX6vo3On2iekFpL_DC5kqw,如何为当前任务，找到最匹配的Skills？——find-skills：运行在单个 Agent 中，可完成 Skills 从搜索、安装到后续检查、更新的全过程,否,260207周
46,https://github.com/vercel-labs/skills/tree/main/skills/find-skills,项目地址,否,260207周
47,https://github.com/vercel-labs/skills,https://github.com/vercel-labs/skills,否,260207周
48,https://m.okjike.com/originalPosts/6980a770c5a1d4e6496677ac,Anthropic 内部总结的 Claude Code 使用技巧,否,260207周
49,https://x.com/bcherny/status/2017742741636321619?s=20,X原文,否,260207周
50,https://mp.weixin.qq.com/s/cLyenxqPX71L0zTSy2uYGQ,拾象 2026 AGI 投资思考开源,是,260207周
51,https://mp.weixin.qq.com/s/7GGm5YPo9RGWhQyMwajG_A,Meta股价大涨，微软暴跌10%，背后对应着不同的资本策略，不过都表明，短期内，数据中心的军备竞赛不会结束,否,260207周
52,https://mp.weixin.qq.com/s/Yy-ShgzElAcbEzDEODMtSA,面壁智能发布 MiniCPM-o 4.5，让大模型能同时看、听、说,否,260207周
53,https://mp.weixin.qq.com/s/p2_NWfgT6dMa5oThwzdR8A,MiniCPM-o 4.5,否,260207周
54,https://minicpm-omni.openbmb.cn/,体验链接,否,260207周
55,https://github.com/OpenBMB/MiniCPM-o,GitHub,否,260207周
56,https://huggingface.co/spaces/openbmb/minicpm-omni,Hugging Face,否,260207周
57,https://mp.weixin.qq.com/s/_Al77NQfvhmZIAZkauH0Qw,模型核心差异,否,260207周
58,https://mp.weixin.qq.com/s/TUPekE8KbnefLdPfBtstlA?click_id=2,Claude 4.6 Opus和GPT-5.3 Codex发布,否,260207周
59,https://mp.weixin.qq.com/s/L3Tbd4KMmPnahnStnunTVA?click_id=1,Claude 4.6 Opus更新详情,否,260207周
60,https://www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf,System Card,否,260207周
61,https://mp.weixin.qq.com/s/YNAFjeu4H0enZ4PYWTgEoQ,ClawdBot目前并不安全，“默认设置”让你的信息，基本对互联网是裸奔状态,否,260207周
62,https://m.okjike.com/originalPosts/697c18a9c5a1d4e649f6bcbf,字节、阿里、腾讯，虽都在AI应用层较劲，但遇到的问题都不一样；“一号位”的影响太大了——无论产生问题，还是解决问题，都和“一号位”高度绑定,否,260207周
63,https://mp.weixin.qq.com/s/JKSS8ucwXN0yGPpA9qxA_g,Google挖走Hume AI团队，发力语音情绪识别,否,260207周
