日报日期,URL,链接文字
20260124,https://mp.weixin.qq.com/s/Yds90_UOyWIFHlOcPU-NgQ,Robopoet孙兆治：Fuzozo（芙崽）如何成为销量最高的AI陪伴玩具
20260124,https://www.xiaohongshu.com/discovery/item/6968763a000000000e03d28c?source=webshare&xhsshare=pc_web&xsec_token=ABbWJ_mSUe0nAeARtvW5v0d5A_kytOQrKm5uN61nVnMDA=&xsec_source=pc_share,AI文旅宣传片「永州赋」（3分1秒）
20260124,https://mp.weixin.qq.com/s/fKTTh0Bq80HC5CEJeW5jHA,谷歌 D4RT：把 4D 重建从“工程流水线”→“时空查询”，让 AI 实时理解动态世界
20260124,https://mp.weixin.qq.com/s/hCN9UV_R4YVIz9AI6gyOrQ,手搓Skills管理三件套 + 官方的Skill-creator，一个能自我进化的Skills管理器
20260124,https://github.com/KKKKhazix/Khazix-Skills,github地址
20260124,https://mp.weixin.qq.com/s/Clwn3UvZdz_l9qe59Z2Ieg,百川发布 Baichuan-M3 Plus（医疗大模型），旨在解决AI落地“医疗行业”的瓶颈——信任和共识
20260124,https://mp.weixin.qq.com/s/em7qCCdN7grvo9MUqQ2LCg,ChatGPT Health 、OpenAI for Healthcare 发布
20260124,https://mp.weixin.qq.com/s/rdLZzwTYDiSSOxRc0RQJuQ,Anthropic发布84页「Claude宪法」，开源AI核心安全与价值观框架
20260124,https://www.anthropic.com/news/claude-new-constitution,链接地址
20260123,https://mp.weixin.qq.com/s/MdDnHWUWlsYfu2WsEbRuTg,AI硬件交流纪要（2026.1）
20260123,https://mp.weixin.qq.com/s/JPz6g4giSQxvDkZ66SdE2w,AI Agent：新体验替代旧体验，未来何时到来？
20260123,https://mp.weixin.qq.com/s/Z4x0EHmyhDQ5ZT8lg_hGsg,一文讲透华为“干部轮岗”机制
20260123,https://www.xiaohongshu.com/discovery/item/696c2f1c000000000b008283?source=webshare&xhsshare=pc_web&xsec_token=ABh8T-n0Z26ClkjveG8vidbZZgskXzPozeKSeZ2Q5C8Dw=&xsec_source=pc_share,AI短片「当归」（6分19秒）
20260123,https://mp.weixin.qq.com/s/jlpaO-piFqvnxAgVJ47wyw,复制+粘贴，是个被忽视的Prompt技巧——重复问题，AI会更聪明
20260123,https://mp.weixin.qq.com/s/wNd17GOenCL_c9ZJpaH8Rw,OpenAI开始测试广告功能，但这是下下策
20260123,https://mp.weixin.qq.com/s/YZXrOWZ12PFN-xTJaN82ug,xAI工程师，疑因爆料“人类模拟器”项目离职，揭示马斯克AGI激进路线
20260123,https://mp.weixin.qq.com/s/SRkkvL4SS22iBXgcBt0kOw,突发！xAI联创杨格过劳病离职，给马斯克干活压力山大
20260123,https://mp.weixin.qq.com/s/yJncWFGJSbOGO5JrRZabpQ,成熟品类里的创新机会：如何重做洗碗机
20260123,https://mp.weixin.qq.com/s/TdrESuxl-SWxfIUg9EMLZg,怎么做Long-running Agents：Cursor、Anthropic给了两种截然不同的思路
20260123,https://t.zsxq.com/LlHNW,现阶段，亲自学用Agent的必要性，到底在哪里？自己不直接用Agent，而是带真人团队、让成员用Agent，行不行？_20260122
20260122,https://mp.weixin.qq.com/s/iCcY7dqD0es5fNusyHUL_w,一人公司（OPC，One Person Company）的分水岭：人退出，公司还能不能运转
20260122,https://www.xiaohongshu.com/discovery/item/696cea04000000002202da0c?source=webshare&xhsshare=pc_web&xsec_token=ABh8T-n0Z26ClkjveG8vidbccsMCA0HkvJE1Cod684jUU=&xsec_source=pc_share,AI MV「当你孤单，你会想起谁」（3分1秒）
20260122,https://mp.weixin.qq.com/s/Pg05doYWNaTjPQnR6E0n_Q,三个最具潜力的AI应用方向
20260122,https://mp.weixin.qq.com/s/e2Zg2NzU8aRFyKzBVqFaXg,AI 时代的真正冲击：不是失业，而是工资制度本身的衰亡
20260122,https://mp.weixin.qq.com/s/dj-7lsrP1GOKvXJTXteO4w,AI Coding在大厂提效不明显，主要是组织流程不适配，汽油发动机套在马车上跑
20260122,https://mp.weixin.qq.com/s/JER462B3dVYlwVYl6rTmzw,Skills的最正确用法，是将整个Github，压缩成自己的超级技能库
20260122,https://mp.weixin.qq.com/s/dwf5CGcJR-vdS3EXGwCpiQ,红杉 xbench 评测报告：104 项日常任务，Agent 可处理 60+%
20260122,https://xbench.org/agi/agentif,AgentIF-OneDay
20260120,https://mp.weixin.qq.com/s/s_L2EIZ8biy89X4VVmsknQ,曲凯对谈张津剑：All in AI 的第一个三年
20260120,https://t.zsxq.com/bKdCu,泡沫怎么来的 and 会怎么破灭_20251013
20260120,https://www.xiaohongshu.com/discovery/item/6968e9b4000000002103f070?source=webshare&xhsshare=pc_web&xsec_token=ABND2N4zmJYV39N-6Mn4Rh2CzIkLp5GcsCf0soWHgVkzQ=&xsec_source=pc_share,AI文艺短片「青春梦」（4分44秒）
