序号,URL,链接文字,是否重要,周报时间
1,https://t.zsxq.com/u55Od,团员分享_一个 AI 产品经理对工作方式的重新理解_@岩风,是,260411周
2,https://t.zsxq.com/vj4do,近期接触到的6个AI认知点,是,260411周
3,https://mp.weixin.qq.com/s/ZfrJLqL98pf8fSHZCOVYYQ,Agent不是工具，而是一个新物种,是,260411周
4,https://mp.weixin.qq.com/s/PeHms1wMcgQvrBAcsjyb0Q,别自学了，送你的Agent去读书,是,260411周
5,https://mp.weixin.qq.com/s/Mik-lifZxKRWEXRtoq714w,对话谷歌前高管：AI发展的下个阶段，将同时迎来七个维度的颠覆,是,260411周
6,https://mp.weixin.qq.com/s/txgCEG1cje2QZIyl1ujQWQ,使用AI的另一种价值观倾向：不为简单提效，而为做得更好（即使不是所有领域、也应是特定领域……否则，你就失去了成长的机会）,否,260411周
7,https://mp.weixin.qq.com/s/4ZqVLMW0WHUDsEkmvcvBFg,AI 商业转型手册（上）,否,260411周
8,https://mp.weixin.qq.com/s/YhhtAf_2CFhT2FHnTVJf3Q,跟AI协作的体感心得,否,260411周
9,https://mp.weixin.qq.com/s/K5k6lRqi9EaNyvtDNdnjoA,不懂代码的人，在用AI Coding赚钱,否,260411周
10,https://mp.weixin.qq.com/s/ezn08yHMQln-Pv3emnWfdA,2017年的文章,否,260411周
11,https://mp.weixin.qq.com/s/fFTLtoLVdhIYtwFL1WLyfA,人身上，不可压缩的是体验,否,260411周
12,https://mp.weixin.qq.com/s/I9UYiHXBp9LbzBWrAxhxyA,罗振宇：未来人类只剩下一件事，告诉AI你要什么,否,260411周
13,https://mp.weixin.qq.com/s/TWCrkY_KH-vRuXtpZvbyUA,五类人难以被替代：讲故事的人、创造点子的人、定义美的人、造流水线的人、范式架构师,否,260411周
14,https://mp.weixin.qq.com/s/pieh2K_xluMrc97BesRjrA,Cherry Studio的AI native做事逻辑,否,260411周
15,https://mp.weixin.qq.com/s/rJXDLrWTABAH3WuoTmUT8Q,率先拥抱AI有爽感，但终究得兑换成「核心竞争力」和「商业价值」，否则别人不难追赶,否,260411周
16,https://t.zsxq.com/2FiFT,团员分享_车载语音助手到车载智能体的演进分析_@kaede,否,260411周
17,https://www.xiaohongshu.com/discovery/item/69d101ab000000001b023bfd?source=webshare&xhsshare=pc_web&xsec_token=ABm-S7K1r8Q3HyAUJ16lwdiw1n5rRJ9GyKukuE_SQ-LqE=&xsec_source=pc_share,AI动画短片「再见」（2分49秒）,是,260411周
18,https://mp.weixin.qq.com/s/dFucx8e8flO3B-qAX3l4GQ,19岁少年用无人机放牛，拿下百万美元YC投资,是,260411周
19,https://www.xiaohongshu.com/discovery/item/69d23006000000002301e087?source=webshare&xhsshare=pc_web&xsec_token=AB5GDAu5sKaSSGWpAPTyHBHH7iPOKMEabe7_bZ-AlwOko=&xsec_source=pc_share,AI动画短片「老人与海」（3分51秒）,否,260411周
20,https://www.xiaohongshu.com/discovery/item/69cbdda5000000001d01a5b8?source=webshare&xhsshare=pc_web&xsec_token=ABpyVFGWHhKHefjbjXdTKySepT2LJkUTo7MXV3sdRr-_c=&xsec_source=pc_share,AI治愈短片「银河速递公司」（9分42秒）,否,260411周
21,https://m.okjike.com/originalPosts/69d51b717478a1d2ee07af01,AI视频：上海国际花卉节宣传片（一镜到底、42秒）,否,260411周
22,https://mp.weixin.qq.com/s/ZjbWYVD9khqYKB-NsP0_ig,Coze 2.5 发布：每个 Agent 有独立身份，并能互相交流,否,260411周
23,https://www.coze.cn/,体验地址,否,260411周
24,http://101.42.42.153/leader/world.coze.site,Agent World,否,260411周
25,https://mp.weixin.qq.com/s/UD2k4ZgkjC30lwXmdsZj5Q,用Claude Code 生成 “巴菲特知识图谱网站”；AI时代的学习，是人机协作，六经注我,是,260411周
26,https://buffett-letters-eir.pages.dev/,网站链接,否,260411周
27,https://t.zsxq.com/hu0mm,3月19号的AI日报,否,260411周
28,https://mp.weixin.qq.com/s/Xe53jscnOyxXbMZNoq18uA,豆包“成精”：Seeduplex全量上线，AI语音交互告别机械感,是,260411周
29,https://m.okjike.com/originalPosts/69d475ab9f3cd84f65768e8e,藏师傅开源的所有 Skill,是,260411周
30,https://github.com/op7418/Claude-to-IM-skill,github地址,否,260411周
31,https://github.com/op7418/Video-Wrapper-Skills,github地址,否,260411周
32,https://github.com/op7418/Youtube-clipper-skill,github地址,否,260411周
33,https://github.com/op7418/Document-illustrator-skill,github地址,否,260411周
34,https://github.com/op7418/Humanizer-zh,github地址,否,260411周
35,https://github.com/op7418/NanoBanana-PPT-Skills,github地址,否,260411周
36,https://mp.weixin.qq.com/s/5GCfjHML9sNfPtYWr-JLCQ,腾讯云发布 QBotClaw（浏览器“龙虾”），微信扫码即可免费用,否,260411周
