序号,URL,链接文字,是否重要,周报时间
1,https://t.zsxq.com/bKdCu,泡沫怎么来的 and 会怎么破灭,是,251018周
2,https://mp.weixin.qq.com/s/3IWt_hYRIDbV9qVHcfKUqg,维他动力如何做软硬一体的to C机器人,是,251018周
3,https://mp.weixin.qq.com/s/XcHpnzROvGSvM3BfoWJTPg,AI寒冬要来了？Sam Altman正在玩一场史诗级赌博,是,251018周
4,https://mp.weixin.qq.com/s/MnbzRNw337298I1Cxx7soQ,以SF Tech Week（旧金山科技周）为例，说明「参加AI行业大会」的最佳策略和底层逻辑,是,251018周
5,https://mp.weixin.qq.com/s/5ES6-a_9mTnkD-8aqQQEHg,AI行业大会场景的社交技巧,否,251018周
6,https://mp.weixin.qq.com/s/JdPzCCURxKfP7a0Uq9V5DQ,英伟达过去、现在和未来（30年变迁的底层逻辑）,否,251018周
7,https://mp.weixin.qq.com/s/MYoa7XC1xRuWjpGY1An3dw,做AI产品的核心认知分享,否,251018周
8,https://mp.weixin.qq.com/s/LOytr9pqt0iM_dhQ-fzi_A,强化学习之父Sutton：LLMs未遵循“惨痛教训”的原则，万亿美金AI泡沫可能破裂,否,251018周
9,https://mp.weixin.qq.com/s/Z7G6f4QJ0XCzzXCreGT84g,FDE模式是Agent时代的PMF范式,否,251018周
10,https://mp.weixin.qq.com/s/4DS-0ruKgnbwOUrMLzBi_w,芯片创业公司Groq创始人访谈,否,251018周
11,https://mp.weixin.qq.com/s/FSe_QGVtsMidvWKuuryrKw,AI资本投入加速，对寻求创新与构建的创始人来说，机会从未如此之大,否,251018周
12,https://mp.weixin.qq.com/s/u_qb817vU_esWJnqPMUetg?click_id=25,“工具逻辑”和“岗位逻辑”的分野，正在决定AI，能否在中国产业真正落地,否,251018周
13,https://mp.weixin.qq.com/s/7mf8gDag4O6Wgc5kIPpg0A,"AI革ming的最大价值，不是替代人，而是创造“AI原生”的服务，满足那些""普遍存在、但以前难以满足的需求""。",否,251018周
14,https://mp.weixin.qq.com/s/xGzcnQSryIOf4uS0sWamfw?poc_token=HF_W62ijxY9oUotP0IozQ30zSDdpe7n-D9AHeNs7,人形机器人，短期瓶颈在手和腿，长期关键在自主性,否,251018周
