序号,URL,链接文字,是否重要,周报时间
1,https://etimq7i0d2.feishu.cn/docx/PYH1drKDpoM4VGxeIHQcNimin8b,“评测即PRD”：AI产品经理的必备技能，从写文档到写评测,否,251101周
2,https://etimq7i0d2.feishu.cn/docx/L9zxdm3rvog756xMj8LcY6URnLb,黑客级竞品调研：超前预判，从一份“Cursor”竞品报告谈起,否,251101周
3,https://mp.weixin.qq.com/s/3qoaKZeqAfd9GPwGoweF3w,https://mp.weixin.qq.com/s/3qoaKZeqAfd9GPwGoweF3w,否,251101周
4,https://mp.weixin.qq.com/s/0rf4-f3XmSkVxJj7KDdaEg,AIPPT 赵充：20 个月 2000 万用户,是,251101周
5,https://mp.weixin.qq.com/s/IsHDDXjeMIEqQ2bmcMrN7g,「捏 Ta」，是做了两年多的「二次元版Sora」,是,251101周
6,https://mp.weixin.qq.com/s/fVFkqiP4fizWAjAFN4fbbA,领投了Ilya新公司的Greenoaks：一切始于创始人,是,251101周
7,https://mp.weixin.qq.com/s/1emA-gL92nD3PhGTPK1iqA,AI降低技能门槛的代价是，我们的品味，在还没得到积累的时候，被快速的拉低、甚至，固化,否,251101周
8,https://t.zsxq.com/vu9X4,https://t.zsxq.com/vu9X4,否,251101周
9,https://mp.weixin.qq.com/s/T0LgeiUVpv6affzhpZ0M8w,筷子科技：商家要的AI视频，不是艺术品，是视频传单,否,251101周
10,https://t.zsxq.com/g5PnR,3.0版的“李继刚（Prompt）的价值被低估了”认知,否,251101周
11,https://t.zsxq.com/sJJoa,文君老师：真正的壁垒在哪里,否,251101周
12,https://mp.weixin.qq.com/s/4aqJXQ482Ip7i_s7c-SHKQ,从Sierra到Jekka：AI 的边界、大规模实践与终点,否,251101周
13,https://mp.weixin.qq.com/s/rJAPdijFB6hesOr0r8trYQ,产品视角看智能客服,否,251101周
14,https://mp.weixin.qq.com/s/K0zlqYhlydu-TSjJcRAXLw,Phota Labs，不是美图工具，而是重新定义“照片”与“记忆”的关系，用生成式AI重构记忆场景，让观看者与照片建立“强烈的情感连接”,否,251101周
15,https://www.photalabs.com/,官网,否,251101周
16,https://mp.weixin.qq.com/s/QVXiu_bpmFntszE8TBioDA,系统智能：真正的AI下半场,否,251101周
17,https://mp.weixin.qq.com/s/xBWjUOqw0x5RLSRj6yHUVA,一直不赚钱的中国SaaS，突然就大反转？,否,251101周
18,https://mp.weixin.qq.com/s/wVUUCP3jG7OaE9bkpj-jCg,地平线余凯：视觉方案与激光方案，根本不是非此即彼的关系——激光雷达不是用来替代视觉的，而是给整个系统加安全兜底,否,251101周
19,https://mp.weixin.qq.com/s/8UhygoI1nRL6T5HkzZ6tQw,Replit：编程的本质从“如何写”（How）彻底转向“做什么”（What）,否,251101周
20,https://mp.weixin.qq.com/s/NhlX2dP-9dpjxdHucN6NLA,“按结果付费”不是关键，也不是SaaS和AI的救命稻草,否,251101周
21,https://mp.weixin.qq.com/s/wvD5ig1aHTwoQ1w8A1Bw5w,AI投放，就应该全方位比人效果好,否,251101周
22,https://mp.weixin.qq.com/s/cDnBwSdvkz-IqAw4NrLSNg,与其说人类会被AI取代，不如说AI是人类的孩子,否,251101周
23,http://xhslink.com/o/DypcZqSUbB,AI视频：文物们扛不住了——2025上海心理热线宣传片（2分34秒）,是,251101周
