序号,URL,链接文字,是否重要,周报时间
1,https://mp.weixin.qq.com/s/OKxM4MS8vS9KVD1vwOBqUw,AI 访谈员公司 Listen Labs，如何做到 1.5 亿美金估值,是,260117周
2,https://mp.weixin.qq.com/s/UTORUUeECzqWFOBPWqgFfw,Vibe Everything 心得：不是“逼AI改到满意”，而是继续往更高层级调整,是,260117周
3,https://mp.weixin.qq.com/s/9v7EoOo2Kci5PWqRoWB16w,2026年是“一代人只有一次”的结构性机会窗口——AI从“工具”转向“自动化系统”，1 人/小规模公司，能创造数百万美元收入,是,260117周
4,https://mp.weixin.qq.com/s/n7kstgO9ZVj0xBvh9CeJGA,橡树资本霍华德·马克斯最新访谈，五十年投资经验倾囊相授,否,260117周
5,https://mp.weixin.qq.com/s/uaygyecHU3OjFu9rK1jr0w,成长的底层逻辑,否,260117周
6,https://mp.weixin.qq.com/s/Z6PiIVC11H-djtbzcO6zxw,AI for science方向探讨（投资人 with 晶泰科技联创）,否,260117周
7,https://t.zsxq.com/dU3aZ,ChatGPT系列（10）_AIGC的核心价值，并不是发挥创意_20230109,否,260117周
8,https://mp.weixin.qq.com/s/13zqXcYYq1TVX-w8MDavEg,AI 不会杀死 SaaS，而是催生一种全新“记录系统”,否,260117周
9,https://mp.weixin.qq.com/s/CWIXUiGcl8VOTKDSi1Mg1g,Mo Gawdat（前 Google X 实验室 CBO）预言：2027 年起，人类将进入 12-15 年“动荡期”,否,260117周
10,https://mp.weixin.qq.com/s/RXxQkDPXo1sqhILvjQkhvw,你加上AI的产出，必须大于AI单独的产出，这样你才有存在的价值,否,260117周
11,https://mp.weixin.qq.com/s/WwZsAoozHNYj0B0WmM41iQ,“（LLM产品）评估”背后，再深一层和两层的关键能力，到底是什么,否,260117周
12,https://mp.weixin.qq.com/s/wfb__EY-fIU3oB4ksU0POw,AGI-NEXT圆桌会，唐杰、杨植麟、姚顺雨、林俊旸同台分享,否,260117周
13,https://mp.weixin.qq.com/s/bfTbsnItuyr_k-w3XlejOg,满足AGI的5个条件,否,260117周
14,https://mp.weixin.qq.com/s/zcqr2XwsHVlCyDKmUebN0g,智能体难变现：问题不在模型能力，而是精度墙与成本墙,否,260117周
15,https://mp.weixin.qq.com/s/LtkLGV3Psg-DqpkWMjchuw,养老机器人真正的客户，是现在的年轻人,否,260117周
16,https://mp.weixin.qq.com/s/QRDC1WYU4CJPr3PFwMmTmw,与爱为舞创始人张怀亭：AI能打破教育行业的「不可能三角」（大规模、高质量、低成本）,否,260117周
17,https://mp.weixin.qq.com/s/RA5C95yC_pjj_giHxgXknQ,潘宇扬：AI 硬件，必须说清楚实际用处；通用产品是空中楼阁,否,260117周
18,https://mp.weixin.qq.com/s/V_O9DyPurTBIjI9rE9vyrA,兴趣广泛的普通人，如何结合AI低门槛“创业”,否,260117周
19,https://m.okjike.com/originalPosts/6964b621cc7b5bfc0434e291,a16z 联创安德森：创业公司找到PMF后，最重要的是建立分销渠道、开始做下一个产品/功能,否,260117周
20,https://mp.weixin.qq.com/s/KnpY3ekQFOc5jYv6vHAa3g,16岁少年，从0开发付费App「EmoEase」，登上App Store排行榜——AI让“一万小时定律”失效了吗？,否,260117周
21,https://www.xiaohongshu.com/discovery/item/696471190000000021030443?source=webshare&xhsshare=pc_web&xsec_token=ABrKw3UHTjLmX-5SnoAFKycF77E1OYrM6Jr0PcQgjBO0I=&xsec_source=pc_share,AI动画「澪与纺」（4分46秒）,否,260117周
22,https://www.xiaohongshu.com/discovery/item/69677a830000000022023bfa?source=webshare&xhsshare=pc_web&xsec_token=AB5v7WIMfzl5N65QI027mZoq2htswlIwajCTLyVYxf2y4=&xsec_source=pc_share,AI动画「感受梦、成为梦」（3分42秒，中国好创意大赛入围作品）,否,260117周
23,https://www.xiaohongshu.com/discovery/item/6963499e0000000021028f33?source=webshare&xhsshare=pc_web&xsec_token=ABMdmw7OxQjBCkwqGrdnnSizeubkaHv4vxpT3tkrIxhZo=&xsec_source=pc_share,AI电影短片「彗星追随」（13分9秒）,否,260117周
24,https://www.xiaohongshu.com/discovery/item/69621e5e000000001a02cd1c?source=webshare&xhsshare=pc_web&xsec_token=ABBMm4tWhq7LAw028W3ww295jR1qoO8pUXHWEzCPokBUg=&xsec_source=pc_share,神仙上班也要打卡？（1分24秒）,否,260117周
25,https://www.xiaohongshu.com/discovery/item/69623f8b000000001a0260c4?source=webshare&xhsshare=pc_web&xsec_token=ABg_XQWrEodVZSoWvb2h2kp0_v4I-R-bOQYyW_RZJo_P0=&xsec_source=pc_share,「时间」与「大师」（45秒）,否,260117周
26,https://www.xiaohongshu.com/discovery/item/6960cc5d000000000e00c3e3?source=webshare&xhsshare=pc_web&xsec_token=ABvbTHQ6gPE9DBI-uuKIucNawrJoHMppTM7qSyrnuoLSc=&xsec_source=pc_share,AI温情视频「致当年的自己」（4分17秒）,否,260117周
27,https://mp.weixin.qq.com/s/J5-nmM2DFoXoRSVzMY88og,打假：智能鞋舱，可现场扫描顾客的脚，并“3D打印”出合脚的鞋子——其实是AI制作的视频，并没有真的日本公司在做这件事（31秒）,否,260117周
28,https://www.xiaohongshu.com/discovery/item/69624771000000001a0255dd?source=webshare&xhsshare=pc_web&xsec_token=ABg_XQWrEodVZSoWvb2h2kp5auU4NS3dNE3LfWjQpojFw=&xsec_source=pc_share,AI治愈短片「晨雾笛声里的放牛娃」（40秒）,否,260117周
29,https://mp.weixin.qq.com/s/UAys_61r-1ik7kEreGbCog,今年，最具启发的Claude Code用例：搭了8个Agent，监控自己的生活,否,260117周
30,https://mp.weixin.qq.com/s/nRVVqPaGxWdNqNrUcurSXg,一文看懂 Skills（含两个案例）,是,260117周
31,https://github.com/anthropics/skills,网址,否,260117周
32,https://github.com/anthropics/skills/tree/main/skills/skill-creator%E3%80%82,https://github.com/anthropics/skills/tree/main/skills/skill-creator。,否,260117周
33,https://mp.weixin.qq.com/s/MXIJzFJA8cAhUhmeVOdmSw,OpenCode教程——“开源版Claude Code”,否,260117周
34,https://opencode.ai/docs,官方文档,否,260117周
35,https://opencode.ai/download,下载链接,否,260117周
36,https://raw.githubusercontent.com/NoeFabris/opencode-antigravity-auth/dev/README.md,https://raw.githubusercontent.com/NoeFabris/opencode-antigravity-auth/dev/README.md,否,260117周
37,https://github.com/code-yeongyu/oh-my-opencode,下载地址,否,260117周
38,https://raw.githubusercontent.com/code-yeongyu/oh-my-opencode/refs/heads/master/README.md,https://raw.githubusercontent.com/code-yeongyu/oh-my-opencode/refs/heads/master/README.md,否,260117周
39,https://mp.weixin.qq.com/s/QRek8OUN_BvBvOPr6ySvBA,用 Claude Code 生成 Skills，帮你创建 PPT （内含skill 提示词）,否,260117周
40,https://m.okjike.com/originalPosts/6969ab8825bae566124afdf7,用Claude Code 下载油管、Bilibili视频（带教程）,否,260117周
