序号,URL,链接文字,是否重要,周报时间
1,https://etimq7i0d2.feishu.cn/docx/LrEHdJmmCo6ff0xZRP5chBktnBg,嘉宾分享_AI产品经理的作品集，重点不在展示项目， 而是“输出闭环”_@张和老师_20251104,是,251108周
2,https://mp.weixin.qq.com/s/lR6p9mz9PWhdJklEvYijAw,李想：2030年，理想希望成为全球领先的ΓAI终端」企业,是,251108周
3,https://mp.weixin.qq.com/s/9TcnJiS3By46O-_0afNlgQ,人文素养和灵魂境界,否,251108周
4,https://mp.weixin.qq.com/s/ZHzAc5uSadp2-YwJsBZaBg,九章智驾出书了——九章为何与众不同,是,251108周
5,https://mp.weixin.qq.com/s/uaygyecHU3OjFu9rK1jr0w,直播回放来了！「成长的底层逻辑」（AI、产品经理强相关， 150页PPT， 1小时50分钟）,否,251108周
6,https://mp.weixin.qq.com/s/k9C7B43JWvXydse2pD_saQ,AI是终结所有泡沫的“终极泡沫”,是,251108周
7,https://mp.weixin.qq.com/s/wbpSKTBvnATVIIzpFyaYrw,直播回放_Γ评测驱动」如何破解AI落地90%难题 & 产品经理转AI最佳路径 _@张和老师,否,251108周
8,https://mp.weixin.qq.com/s/dJP2R88GG8GgYiiwiq0I3w,直播回放_产品经理学AI——如何从认知到实操，碾压面试官_@张和老师,否,251108周
9,https://mp.weixin.qq.com/s/GXVQ3SKxMfbPChTuQHg_rg,MindCode周报,否,251108周
10,https://mp.weixin.qq.com/s/_AIuh4SkwqQRlnEk_68d0Q,a16z创始人：LLM智力已够用， 目前的AI是失去身体的头脑,否,251108周
11,https://mp.weixin.qq.com/s/cFknIeQzyh-VSi6WB-uA_Q,Agent落地真相：不是AI不够聪明，而是企业没准备好,否,251108周
12,https://mp.weixin.qq.com/s/L96SuVu2hpAonKy8EkuJpQ,Dify CEO张路宇谈创业、全球化和开源,否,251108周
13,https://mp.weixin.qq.com/s/YfUQoK9YB70wR-IXpoEaog,为120个AI项目做增长后的干货分享,否,251108周
14,https://mp.weixin.qq.com/s/zoo5p_akYHNJlOe06Gh-pA,最有乐趣的体验，绝不外包给AI,否,251108周
15,https://mp.weixin.qq.com/s/qaoqXWmNXWSSz2lWaU-8pw,被AI毁掉乐趣，也因AI得以发展新爱好,否,251108周
16,https://mp.weixin.qq.com/s/Wf-rJGrZ0Oe2-vPc_2cvrA,增长秘诀：如果每个阶段只让我选一件事做,否,251108周
17,https://mp.weixin.qq.com/s/EIhPLTmpz2OY81RNAIR1YQ,AI Phone，基于医疗翻译场景，深度定制功能，推出“AI翻译耳机”,否,251108周
18,https://mp.weixin.qq.com/s/I6YF4-NrrerptuErr1HNKA,AI泡沫何时出现？,否,251108周
19,https://mp.weixin.qq.com/s/clX6gVEFlnDpTiBUG5VUyQ,马斯克的AI世界，5年后是什么样？,否,251108周
20,https://mp.weixin.qq.com/s/-R5obqUnLbwDnWqb550EoA,不能让AI被训练成， 只会说你爱听的话，更不能让过度政治正确,否,251108周
21,https://mp.weixin.qq.com/s/v9ZK3ruaX04EWJsWO8K63g?click_id=18,美国巨头们疯狂裁员：不是为了AI投入（裁员省下的钱，相比对AI的投入，无异于杯水车薪） ，而是因为岗位可被AI替代,否,251108周
22,http://xhslink.com/o/YVequEt0Ui,“雷布斯”营销模拟器（ 内置DeepSeek，2分30秒）,是,251108周
23,https://mp.weixin.qq.com/s/jaTOj3996TzSo_kIKIQ7FQ,AI视频： “进入”儿童积木游戏（43秒）,否,251108周
24,https://mp.weixin.qq.com/s/2nvVTi50fkhxgdpp0UaANA,海关（杭州萧山机场）应用ima知识库（取代了资料架和咨询员）,否,251108周
25,http://xhslink.com/o/9MPvBZGQYy5,AI视频：变色龙香吉士的烦恼（2分13秒）,否,251108周
26,http://xhslink.com/o/AdMwI2rS7GQ,AI视频：贵州傩文化博物馆（3分49秒）,否,251108周
27,https://mp.weixin.qq.com/s/k_a4kPlIWMXoI7QLVXx30Q,AI眼镜公司Sesame获2.5亿美元融资：把“个性化”的AI Agent 做进AI眼镜里,否,251108周
28,https://mp.weixin.qq.com/s/geBKWdgoQwkwHUPkWvstWg,Kimi-k2 Thinking 模型发布,否,251108周
29,https://platform.moonshot.cn/docs/guide/use-kimi-k2-thinking-model,详细信息,否,251108周
30,https://mp.weixin.qq.com/s/54qHLvw2VK3rwRlhojnb4w,Kimi 编程全家桶的使用攻略,否,251108周
31,https://mp.weixin.qq.com/s/Wevr_Y_8De1nctnapull8g,如何制作同款，B站爆款AI音乐鬼畜视频,否,251108周
32,https://suno.com/,体验地址,否,251108周
33,https://mp.weixin.qq.com/s/Dy23z7PzdyowKRKb67B-8Q,庄明浩年度暴论（ 170页 ppt）,否,251108周
