序号,URL,链接文字,是否重要,周报时间
1,https://mp.weixin.qq.com/s/2tM5kJVrV4kUE50h43n6Dg,Anthropic CEO：2027，人类命运的十字路口,是,260131周
2,https://t.zsxq.com/AQY4o,近期接触到的8个AI认知点,否,260131周
3,https://mp.weixin.qq.com/s/xfOTxAXYbU1fnLPd7a10Wg?poc_token=HMbpe2mjL4ETTNctQuIrpAkkIZI8BuKjl6vBJSn-,Andrej Karpathy：AI 编程最大的谎言，是 “提效”,否,260131周
4,https://mp.weixin.qq.com/s/rFbRnbK1WJXZr10sqUgcoQ,2025，AI的水平，其实就已经超过人类,否,260131周
5,https://mp.weixin.qq.com/s/RDByE5nr0xwYBmNpvIbf1g,OpenAI前研究副总裁Jerry Tworek：在OpenAI创新已变得困难,否,260131周
6,https://mp.weixin.qq.com/s/XUWKsgLH7qhnilPpI31Yrw,Palantir模式，在中国难以复制的根源：权力分配模型与组织逻辑不兼容,否,260131周
7,https://mp.weixin.qq.com/s/g1buBpdV92gorutbtMnrDQ,Excel 可能成为继 Coding 之后，下一个迎来“aha moment”、并快速爆发的高价值领域,否,260131周
8,https://mp.weixin.qq.com/s/9F7XwoOMaAZkvj8gU4RJ9Q,Skills 不是套壳脚本——脚本是把“思考过程”，固化成“代码”，是 hard-coded；Skills 是告诉 AI 目标、约束，让它自己想办法，是 learned,否,260131周
9,https://mp.weixin.qq.com/s/xSOiJQYagGqaVP5w4pOjzw,OpenAI：决定模型真正聪明程度的，不是智能水平，而是它理解你的方式,否,260131周
10,https://mp.weixin.qq.com/s/KEXlVP5LZQ7qcebS-el0vg,AI赋能产品经理工作的“边界”,否,260131周
11,https://mp.weixin.qq.com/s/qMr9KNEX3KXrFESKDHtRaw,OpenAI在走下坡路，而判断它是不是一直走下去，就看一点——它是不是又推出了一个全民应用,否,260131周
12,https://mp.weixin.qq.com/s/kpVemDASYpb8jwwfymx4Zw,字节扣子的演化过程：没有战略规划，更像早期创业团队，走一步看一步,否,260131周
13,https://mp.weixin.qq.com/s/97aeyxRin5OK20rG_-Pn3Q,清华学霸翁家翌：GPT核心贡献者，认为世界可被预测,否,260131周
14,https://www.bilibili.com/video/BV1darmBcE4A,访谈视频链接,否,260131周
15,https://mp.weixin.qq.com/s/YQuwid0AT5XNqxiGugSLoQ,人形机器人的落地难点,否,260131周
16,https://mp.weixin.qq.com/s/l5X-PtyxhNf4bxQwzJv6RQ,以太坊创始人Vitalik：Crypto是对抗Centralized AI（中心化AI）的防线,否,260131周
17,https://mp.weixin.qq.com/s/QUYRJ-ctvT5Nm5Mkx9lu7A,老板如何避免“亲自抓细节”的行为，成为下属“决策能力成长”的障碍？,否,260131周
18,https://mp.weixin.qq.com/s/-J364luFOHGzxkdWooJmbQ?click_id=1,Sam Altman 在 OpenAI 开发者 Town Hall 上的发言,否,260131周
19,https://mp.weixin.qq.com/s/8wc7CU5ceiY7DaMoqGq36w,微软CEO纳德拉最新分享,否,260131周
20,https://mp.weixin.qq.com/s/oDs92RF_XGZ1gAJY8J7G7Q,Ben Horowitz 最新访谈,否,260131周
21,https://www.xiaohongshu.com/discovery/item/697722ff000000000b0098d0?source=webshare&xhsshare=pc_web&xsec_token=ABgkS6fXmKXYYXFviksj0MzaKmx0nRcQNUy1sPQDEoE4U=&xsec_source=pc_share,AI叙事类短片「沈园一梦」（5分2秒）,否,260131周
22,https://www.xiaohongshu.com/discovery/item/697360010000000022009bdc?source=webshare&xhsshare=pc_web&xsec_token=AB2q3EtKNMRn6WCGMpFuoSQTRJtRp_V_9ew6bHzVO1Qwo=&xsec_source=pc_share,AI短片「欢迎光临」（2分48秒，腾讯AIGC短片大赛获奖作品）,否,260131周
23,https://www.xiaohongshu.com/discovery/item/690dd207000000000301d7f7?source=webshare&xhsshare=pc_web&xsec_token=ABQW2lo7b4bv55Ugdg-FBsyVTCTHmHWyf0KA7beogFv4E=&xsec_source=pc_share,链接,否,260131周
24,https://www.xiaohongshu.com/discovery/item/6978a1fb00000000220390e6?source=webshare&xhsshare=pc_web&xsec_token=ABZDwg3UtKdySyi-GKZ3hqBgFq29PBfqYxz6L_TbHyq7U=&xsec_source=pc_share,AI中式美学短片「心中的江湖」（43秒）,否,260131周
25,https://www.xiaohongshu.com/discovery/item/696f63fa000000000a03d9ca?source=webshare&xhsshare=pc_web&xsec_token=AB74RWnJfpZPve7Hd4vtxEnJ7EWCZ0MaregVY8t4uXYwM=&xsec_source=pc_share,AI广告「内蒙专供牛奶」（30秒）,否,260131周
26,https://www.xiaohongshu.com/discovery/item/697338a6000000000d00a05f?source=webshare&xhsshare=pc_web&xsec_token=ABiC50xtMeN-fq6JMiyttw1BJwPjoltqUh64BXid_5_q0=&xsec_source=pc_share,AI视频：手搓「始祖鸟」产品广告（19秒）,否,260131周
27,https://mp.weixin.qq.com/s/WpOuHnNp-qaQf6-hgBKpRg,Clawdbot，一个自部署的 AI 助手,否,260131周
28,https://clawd.bot/,官网,否,260131周
29,https://github.com/clawdbot/clawdbot,github项目,否,260131周
30,https://clawdhub.com/skills,Clawdbot 的官方 Skills 库,否,260131周
31,https://mp.weixin.qq.com/s/jC6b0LsTeGHDJMO1uRRFWQ,背后的开发者，是Peter Steinberger,否,260131周
32,https://mp.weixin.qq.com/s/ZF8SdVL8DQz40QH9U6y5Pg,背景,否,260131周
33,https://mp.weixin.qq.com/s/h1qh8vZKoTroq3nEGOYx3g,Clawdbot，正式更名为 Moltbot,否,260131周
34,https://mp.weixin.qq.com/s/gRCZdwyK3xoD3VLrvxdDjQ,保姆级Clawdbot安装教程 + 接入飞书案例,否,260131周
35,https://molt.bot/install.ps1,https://molt.bot/install.ps1,否,260131周
36,https://molt.bot/install.sh,https://molt.bot/install.sh,否,260131周
37,https://github.com/m1heng/Clawdbot-feishu,github的相关教程,否,260131周
38,http://127.0.0.1:18789/chat,http://127.0.0.1:18789/chat,否,260131周
