序号,URL,链接文字,是否重要,周报时间
1,https://mp.weixin.qq.com/s/v6ufzVlrsP4va9DO7AouwA,14天造出一台AI Native计算机：Happycapy和下一代人机协作的故事,是,260404周
2,https://mp.weixin.qq.com/s/HUbGS3ddYqv_-QUTEu3JiQ,The Book of Elon: 最具价值的35条核心洞见,是,260404周
3,https://m.okjike.com/reposts/69c883b651449d16de2b8cac,互联网对空间起作用，AI对时间起作用,是,260404周
4,https://mp.weixin.qq.com/s/yKebVH7BAQsXFlkhDaGeBg,拿到 Claude Code 源码，怎么真正学到手,否,260404周
5,https://github.com/claude-code-best/claude-code,可运行版本,否,260404周
6,https://mp.weixin.qq.com/s/9ejYjBP-hmmz6lliDbROjg,装了Agent却不知道干啥，不是你不需要，而是创造力不足；激发创造力的方法分享,否,260404周
7,https://mp.weixin.qq.com/s/VzJSS0magtMAEg-vv4H2Jw,Mike Krieger（Anthropic 产品 VP）：构建加速了，但“知道造什么”仍需时间积累,否,260404周
8,https://mp.weixin.qq.com/s/ukObromqpNfDaOHqxKCFzA,到底什么能力AI无法取代,否,260404周
9,https://mp.weixin.qq.com/s/3h4RsEa8-IpJb2TSA5LV2Q,如何把龙虾“养进工作与生活里”,否,260404周
10,https://mp.weixin.qq.com/s/giwwCOYkM9INW5MBiLFJhw,AI圈，三种“不懂装懂”的业余病,否,260404周
11,https://mp.weixin.qq.com/s/g6QwrCRKesifCEgOVXsQtQ,Junior.so：新产品形态OpenClaw for Teams，可取代任何行业里，若干3～5年经验的员工,否,260404周
12,https://mp.weixin.qq.com/s/ZQqdOkx7-7ZQBHAWd1QrSA,让Agent可控的必经之路：AI本体论（分层治理体系，以本体模型为约束核心）,否,260404周
13,https://mp.weixin.qq.com/s/9qI83Ne-Ac_R9y-yJ6SVnQ,Harness is the New Dataset：模型智能提升的下一个关键方向,否,260404周
14,https://mp.weixin.qq.com/s/tjzWyvA8Am1PbS0dEd7xpw,前端项目Pretext，可实现“动态文字环绕”效果，通过JS就能轻松调用，达到CSS做不到的高性能动态布局,是,260404周
15,https://m.okjike.com/originalPosts/69c89cb79f3cd84f6569a636,它让AI知道每个字符的宽度，避免出现闪烁、超出范围、抖动等问题。,否,260404周
16,https://mp.weixin.qq.com/s/HzOW1RdfzTCvNnLvFbiG9w,Claude Code 的宠物系统,否,260404周
17,https://linux.do/t/topic/1873901,攻略链接,否,260404周
18,https://www.xiaohongshu.com/discovery/item/69c65b4c000000001b001fe6?source=webshare&xhsshare=pc_web&xsec_token=ABVfT8f1X3NQbx2ZMNAovzR-ev0uDpdaViybnI5KORrKo=&xsec_source=pc_share,AI短片「如山」（4分45秒）,否,260404周
19,https://www.xiaohongshu.com/discovery/item/69c756ee0000000028008cea?source=webshare&xhsshare=pc_web&xsec_token=AB9XPjrBA-YfUebsp_yk3-OWBbPh_7CwtHW6qKclDyT2Q=&xsec_source=pc_share,AI农业科幻短片「云下之民」（12分59秒）,否,260404周
