链接,标题,日期,星期,来源,精选合集,周报时间,异常信息
https://mp.weixin.qq.com/s/D5Ob_KZb4QGGYlHo2YKjvg,深度讨论 Pulse：OpenAI 超越 Google之路的开始 ｜Best Ideas,20250928,周日,微信-海外独角兽,PA-日周++,251011周,
https://mp.weixin.qq.com/s/Qq4Tus7MAfo7OQXtoRg5HQ,信息量爆炸...刚刚出来的OpenAI访谈（10月8日）,20251008,周三,微信-180K,PA-日周++,251011周,
https://t.zsxq.com/hNa9Y,重要_周日换频道（278）_尽量不要“错配”（绝大多数人，40岁之后，才可能get到这个关键问题）_20250427,20250427,周日,星球-AI产品经理大本营,PA-周++,251011周,
https://mp.weixin.qq.com/s/G5M0dmcv9XKr7LUpakMG5Q,强化学习之父萨顿：大语言模型是死路一条，人和动物的智能没分别，我们处于整个宇宙演化的第4阶段，创造AGI是人类文明的关键使命,20250928,周日,微信-高飞的电子替身,PA-日周++,251011周,
https://mp.weixin.qq.com/s/pOVRXWH8BInvglKuSEbq_g,汪军对话 Rich Sutton：大模型在一定程度上分散了我们对智能理解的注意力,20250926,周五,微信-AI科技评论,PB-普,251011周,
https://mp.weixin.qq.com/s/z07CF9MAdYlNbhQcMp6v8Q,Andrej Karpathy回应强化学习之父Sutton最新观点「LLM是“死路一条”」,20251002,周四,微信-AI寒武纪,PB-普,251011周,
https://mp.weixin.qq.com/s/pyMnl_p8OgID6P4jxoaI1g,接近温和拐点，AI将迎来比撒手速度的周期,20250927,周六,微信-琢磨事,PA-日周++,251011周,
https://mp.weixin.qq.com/s/kALhwiRIQHdRlZMy8hBxjg,AI产品的技术路线选择：提示词、RAG与模型微调,20251009,周四,微信-SaaS白夜行,PA-日周++,251011周,
https://mp.weixin.qq.com/s/HG-QE3pw_h-QK4tIyYk6rA,中国虎抓住美国鹰的脚,20251010,周五,微信-程苓峰,PA-日周++,251011周,
https://t.zsxq.com/q8ky3,Agent Builder不是Coze或Dify，工作流不是真正的Agent_20251010,20251010,周五,星球-AI产品经理大本营,PB-普,251011周,
https://t.zsxq.com/dxcyW,LLM的真正普及，可能需要等AI安全等领域，有更大进展_20250930,20250930,周二,星球-AI产品经理大本营,PB-普,251011周,
https://t.zsxq.com/pwELZ,什么时候用国内AI产品、什么时候用国外AI产品？_20251002,20251002,周四,星球-AI产品经理大本营,PB-普,251011周,
https://t.zsxq.com/kWHUv,AI时代，AI公司做产业投资，可能比之前更“重”_20251007,20251007,周二,星球-AI产品经理大本营,PB-普,251011周,
https://t.zsxq.com/u7ZzH,“赚钱视角”看AI的一个干货视频_20251009,20251009,周四,星球-AI产品经理大本营,PB-普,251011周,
https://mp.weixin.qq.com/s/eTHt3fRg5hP-2wglqwFYSg,黄仁勋最新洞察：AI 推理 10 亿倍爆发！OpenAI 冲刺万亿美元，华尔街仍旧低估,20250928,周日,微信-有新Newin,PB-普,251011周,
https://mp.weixin.qq.com/s/qy7yTSDvT-iDIQy1aI_DKw,和罗永浩【十字路口】畅谈4小时，干货全在这儿,20250924,周三,微信-红衣大叔周鸿祎,PB-普,251011周,
https://mp.weixin.qq.com/s/MM4qMZP8qtVjnUTBJdjeJA,AI时代创业的大机会,20250928,周日,微信-全球风口,PB-普,251011周,
https://mp.weixin.qq.com/s/skCelBVuGM-WAGDCO2s-oA,20美元就能拥有私人秘书！看懂OpenAI重磅更新背后的AI浪潮！,20250929,周一,微信-全球风口,PB-普,251011周,
https://mp.weixin.qq.com/s/JFU4uLF-ZO7sF-Q9lAlxsQ,白强：AI是人类最后一次技术革命,20250927,周六,微信-链感AI,PB-普,251011周,
https://mp.weixin.qq.com/s/ichZ7dy1pi9Mk7sRIyz5-g,Trickle创始人：AI出海路上的3次PMF｜Linkloud第三十四期沙龙实录（一）,20250927,周六,微信-我思锅我在,PB-普,251011周,
http://xhslink.com/o/8AFBmnNBmxA,（美tiktok网红在中国试用机器腿，一天超千万人观看（5分42秒））,20250928,\,APP-小红书,PB-普,251011周,需要登录或无法访问
http://xhslink.com/o/8b0eNfJoHnN,（AI视频：你知道自己是AI吗？看庄子、孔子、老子如何回答（30秒））,20251011,\,APP-小红书,PB-普,251011周,需要登录或无法访问
http://xhslink.com/o/8E8sMdDcdGO,（AI视频：张杰演唱会转场——中国风与未来感融合（1分50秒））,20250929,\,APP-小红书,PB-普,251011周,需要登录或无法访问
http://xhslink.com/o/8QBcVjqsoV,（AI视频：一场跨地域的“文物”中秋月饼宴（47秒））,20250930,\,APP-小红书,PB-普,251011周,需要登录或无法访问
http://xhslink.com/o/8Rilhmfj28N,（AI视频：敦煌瑞兽的皮影美学（一镜到底，51秒））,20251009,\,APP-小红书,PB-普,251011周,需要登录或无法访问
https://mp.weixin.qq.com/s/Zp8q0C1dEqV86txdKpardw,教你用豆包P图拯救100张废片，轻松惊艳国庆朋友圈。,20251002,周四,微信-数字生命卡兹克,PA-日周++,251011周,
https://mp.weixin.qq.com/s/FxG09Ia1z1Ciup709rPpXQ,实测 Gaga：国产的 Sora2｜新鲜货，来自曹越,20251010,周五,微信-赛博禅心,PB-普,251011周,
http://gaga.art/,Gaga AI - 音画同步视频生成模型 | 照片说话与数字人制作工具 | 精准口型AI视频生成器,20251011,\,,PB-普,251011周,未提取来源信息
https://mp.weixin.qq.com/s/0dcGm5WcO8Cp_EFWTYiBeg,Magi-1 开源&刷屏：首个高质量自回归视频模型，它的一切信息,20250423,周三,微信-赛博禅心,PB-普,251011周,
https://100.datavizproject.com/,1 dataset. 100 visualizations.,20251010,\,,PB-普,251011周,未提取来源信息
https://mp.weixin.qq.com/s/fVeBta950i6G7eC_y7JU0g,Gemini 2.5 Computer Use：超越 Sonnet 4.5 与 OpenAI CUA：AI 开始真正“会用电脑”,20251009,周四,微信-Renee 创业随笔,PB-普,251011周,
https://gemini.browserbase.com/,Gemini Browser,20251010,\,,PB-普,251011周,未提取来源信息
https://m.okjike.com/originalPosts/68e679cdbe5dac10f8e15541,OpenAI使用超1万亿Token的OpenAI30个大客户名单注意：名单中的顺序是按照姓氏字母排序的，而并非根据使用量排名。,20251008,周三,APP-即刻,PB-普,251011周,
https://mp.weixin.qq.com/s/n23pElxtufKy_rTc5V1BUw,零营收！估值 90 亿美金独角兽 - Prediction Markets 炸裂硅谷,20251006,周一,微信-投资实习所,PA-日周++,251011周,
https://mp.weixin.qq.com/s/oMsItbQUJr6sqgkJy_yA_A,OpenAI 年度发布会：Agent平台/Sora API/第三方接入ChatGPT/... 讲的没讲的，都在这了,20251007,周二,微信-赛博禅心,PB-普,251011周,
https://mp.weixin.qq.com/s/YpNMlOVAviKq6-GXkYUG5A,刚刚，奥特曼官宣ChatGPT「终极OS入口」！8分钟速搭智能体，8亿人狂欢,20251007,周二,微信-新智元,PB-普,251011周,
https://mp.weixin.qq.com/s/1OHG5SqW_N66-1W_hldRwQ,Codex迎来史诗级升级！能一口气卷自己7小时、自带云端虚拟机，连开发环境都不用配置了！Cursor存在的理由又弱了一分,20250916,周二,微信-刘小排r,PB-普,251011周,
https://developers.openai.com/codex/cli,CLI – Codex | OpenAI Developers,20251009,\,,PB-普,251011周,未提取来源信息
https://chatgpt.com/,（网页）,20251009,\,,PB-普,251011周,未提取来源信息
https://mp.weixin.qq.com/s/UYToRXmbE6O91WmP6xGPzA,OpenAI 又开新战场：AI 版抖音要来了,20250930,周二,微信-MindCode,PB-普,251011周,
https://mp.weixin.qq.com/s/X9HUkS-o3KZq7kDWZ26egQ,我的12个「2024 AI 猜想」,20240311,周一,微信-hanniman,PR_引用,251011周,
