链接,标题,日期,星期,来源,精选合集,周报时间,异常信息
https://mp.weixin.qq.com/s/qa1J3KglD8ITh75NrfbfGA,OpenClaw 和 Claude Code 的本质分歧,20260310,周二,微信-AI产品黄叔,PA-日周++,260314周,
https://mp.weixin.qq.com/s/bnBQHsh8dM--9pfqtpvZZw,对话余一：想让AI自动干活？先搭好“复利工程”,20260311,周三,微信-MindCode,PA-日周++,260314周,
https://mp.weixin.qq.com/s/lkyBQjCLUPzNenj9L4OgYw,【重磅福利】人工智能产品经理的新起点（200页PPT下载）,20170414,周五,微信-hanniman,PB-普,260314周,
https://mp.weixin.qq.com/s/bSqvn__phyGcszoIq5PbNg,代表上帝参战,20260303,周二,微信-程苓峰,PA-日周++,260314周,
https://t.zsxq.com/scqSd,（AI能帮助更多人提升到「心」的维度_20260129）,,,星球-AI产品经理大本营,PB-普,260314周,知识星球API返回失败
https://mp.weixin.qq.com/s/gbUJbJQzjMGtR0zyGYnEfg,AGI，无法被对齐,20260312,周四,微信-AGENT橘,PA-日周++,260314周,
https://mp.weixin.qq.com/s/qcpE_A_eFdBbcyyAHe1HxQ,AI圈贩卖焦虑已经过于离谱了,20260309,周一,微信-阑夕,PA-日周++,260314周,
https://mp.weixin.qq.com/s/LFIw_BRvgHB-YDPVYTd_pg,AI时代，普通人的机会,20260310,周二,微信-caoz的梦呓,PB-普,260314周,
https://mp.weixin.qq.com/s/TU1_YZiCV59TLGiPu2ATpQ,曾被问“有AI产品经理课程推荐吗？”，我都说没有，直到发现了这个……,20251105,周三,微信-hanniman,PB-普,260314周,
https://mp.weixin.qq.com/s/l32EPYG5RmeLXqG6RlXKug,我用 AI 翻译的三个阶段：提示词时代 → 推理模型时代 → Agent 时代,20260307,周六,微信-宝玉AI,PA-日周++,260314周,
https://github.com/JimLiu/baoyu-skills,GitHub - JimLiu/baoyu-skills · GitHub,20260308,\,Web-GitHub,PB-普,260314周,未提取日期
https://github.com/anthropics/skills/tree/main,GitHub - anthropics/skills: Public repository for Agent Skills · GitHub,20260308,\,Web-GitHub,PB-普,260314周,未提取日期
https://mp.weixin.qq.com/s/IXeUCcxlzUdtN-pjuGO_QA,嘉宾分享_“评测即PRD”：AI产品经理的必备技能，从写文档到写评测_@张和老师,20251029,周三,微信-hanniman,PB-普,260314周,
https://mp.weixin.qq.com/s/luLBXSqmhzZZvPo7zqCrhQ,硅谷在用龙虾干什么？一个VC和一个科技博主的拆解,20260308,周日,微信-天际科技投资,PA-日周++,260314周,
https://mp.weixin.qq.com/s/nB0kb_hhXwPHOAY-FJWVtQ,当AI可以重写一切：图灵、塞尔、马斯克以及你我的唯一性,20260309,周一,微信-MindCode,PB-普,260314周,
https://mp.weixin.qq.com/s/RnED00idEhMpemrMcdDG1Q,当朱啸虎出现在龙虾现场，我听到了OpenClaw真正的机会,20260309,周一,微信-非凡产研,PB-普,260314周,
https://t.zsxq.com/jOSFo,用户想要“能帮我赚钱”的龙虾？_20260309,20260309,周一,星球-AI产品经理大本营,PA-周++,260314周,
https://mp.weixin.qq.com/s/bTxPvWr0S-pkMYnoyUjttw,对话ACE Studio：做AI音乐、月收入200万美元，我们选了一条和Suno截然不同的路,20260311,周三,微信-Founder Park,PA-日周++,260314周,
https://mp.weixin.qq.com/s/sfVU786tmz4ifiILmYfB2w,AI产品经理大本营,20260205,周四,微信-hanniman,PB-普,260314周,
https://mp.weixin.qq.com/s/IyPQgm5bblE0LPhU8F7X9A,智能助理的应用场景选择 | AI产品经理闭门会第3期干货分享,20170925,周一,微信-hanniman,PB-普,260314周,
https://mp.weixin.qq.com/s/JrfA9O3KCv9oebegCYHJHQ,现阶段实践“拿着锤子找钉子”的六个步骤,20180313,周二,微信-hanniman,PB-普,260314周,
https://t.zsxq.com/8OBXc,视频回放_「从AIGC看虚拟世界产品化落地之路」（25分钟）_20240207,20240207,周三,星球-AI产品经理大本营,PB-普,260314周,
https://mp.weixin.qq.com/s/vAp5stHcQIAZvLZHRRXzYg,和Tim、快刀青衣、卡兹克聊: 龙虾时代眼高手低是褒义词,20260312,周四,微信-傅盛,PB-普,260314周,
https://t.zsxq.com/4eD3l,重要_过度钻研Prompt，可能是弄反了方向_20260305,20260305,周四,星球-AI产品经理大本营,PA-周++,260314周,
https://mp.weixin.qq.com/s/z2V6RJ6XjLLL0rHwdk7tAQ,号称最适合OpenClaw？别被GPT-5.4的发布骗了！大溃败危机已现,20260310,周二,微信-全球风口,PB-普,260314周,
https://mp.weixin.qq.com/s/tct5Z9dd4DBEBnwwnxDaqQ,当 AI 写了几乎所有代码，软件工程会怎样？,20260311,周三,微信-宝玉AI,PB-普,260314周,
